unit_id,unit_name,category,task17_status,current_status,status_source,evidence_refs,effective_date
RULE-001,规则、参数、不变量与合法性裁决优先级,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-002,换三张同花色、方向与提交合法性,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-003,定缺未清时的强制出牌约束,RULE,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;fixed_seed audit runs,2026-07-30
RULE-004,定缺、死叫与胡牌资格约束,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-005,座位、庄家与活动顺序,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-006,摸牌、可选响应与出牌标准顺序,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-007,碰牌资格、执行与后续出牌,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-008,明杠、暗杠与补杠资格及执行,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-009,补杠抢杠胡窗口与解析,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-010,自摸、点炮与抢杠胡资格,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-011,过胡设置、持续与恢复,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-012,强制胡与最后阶段必胡,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-013,多人响应确定性优先级,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-014,血战胡后退出、继续与终止,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-015,启用番型、互斥/叠加与封顶规则,RULE,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
RULE-016,局中与终局公开信息范围,RULE,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;43-decision replay,2026-07-30
ALGO-001,face/physical tile 编码、投影与所有权守恒,ALGO,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;production wall construction,2026-07-30
ALGO-002,手牌分解、向听、弃牌向听与等待形状,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-003,去重可见牌与未见牌聚合,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-004,墙内活牌区间或估计,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-005,逐座剩余摸牌机会估计,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-006,mandatory 分类、候选上限与稳定排序,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-007,六分量候选 Q 评价,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-008,seed、噪声、思考时间与随机流确定派生,ALGO,PARTIAL,PARTIAL,TASK17-REBASELINE,,2026-07-30
ALGO-009,配置类型/范围/版本校验、迁移与 canonical hash,ALGO,PARTIAL,AUDITED,TASK18-B1A-AUDIT-DELTA-1,docs/spec-v3/reports/B1-A_acceptance_audit_matrix.csv; tests/spec_v3/test_b1a_algo009.py; docs/spec-v3/evidence/task18b_b1a/B1-A_golden_execution.json,2026-07-30
ALGO-010,PlayerView 白名单构建,ALGO,AUDITED,AUDITED,TASK17-REBASELINE,task15_evidence/pilot_runtime.jsonl;43-decision replay,2026-07-30
