unit_id,ac_id,check,semantic_delta_ids,test_delta_ids,evidence_delta_ids,objective_test_oracle,evidence_source,gate_status,blocking_reason
STATE-010,AC-STATE-010-01,Locked规格/决策完整,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,决策表中STATE默认/null与RP归档两项为Approved，并给出60项字段表及33项归档规则,docs/spec-v3/decisions/B1-A_approval_form.md,PASSED,B1-A-DECISIONS 1.0.0选项A已批准
STATE-010,AC-STATE-010-02,非占位生产实现,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,注册表返回恰好GP-001..027和RP-001..033；重复ID=DUPLICATE_PARAMETER，漏项=SCHEMA_INVALID,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-03,稳定代码入口,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,"registry.resolve(source_config,phase)正常返回owned state；未知ID返回UNKNOWN_PARAMETER且result=null",planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-04,生产调用方,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,orchestrator创建match的E4 call_site经过STATE-010，输出四座owner hash和committed version,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-05,参数/版本绑定,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,owned state记录parameter_version/ruleset_hash/config_hash；VERSION_CONFLICT时next_state_version不变,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-06,原子状态或纯函数,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,VALIDATED/RESOLVED阶段故障时before_state_hash=after_state_hash；成功仅version+1一次,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-07,直接测试,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,直接测试逐项断言60 ID、owner、phase、default来源、accepted、error_code和next_state_version,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-08,边界/异常测试,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,缺失必填、允许缺省、null不可空、闭区间外、未知键、重复/迟到event各有准确错误码,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-09,生产集成测试,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,settings→load_config→orchestrator装配四座；修改seat2授权RP后seat0/1/3 hash不变,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-10,E4运行证据,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,真实match创建与一局归档trace包含phase_before/after、version/hash前后及生产call_site,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-11,全链追溯,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,每个SEM-STATE-010行映射到registry/runtime符号、直接测试、生产trace SHA-256和对应AC,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-12,性能,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,固定环境分别测60项resolve和33项snapshot的P50/P95/P99；只登记基线，不设通过阈值,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-13,信息隔离,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,策略对象图无registry、seed_ref和其他座private RP；隐藏字段扰动后DecisionResult相同,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
STATE-010,AC-STATE-010-14,确定性/复现,SEM-STATE-010-01|SEM-STATE-010-02|SEM-STATE-010-03|SEM-STATE-010-04|SEM-STATE-010-05|SEM-STATE-010-06|SEM-STATE-010-07|SEM-STATE-010-08,TEST-STATE-010-01|TEST-STATE-010-02|TEST-STATE-010-03,EVIDENCE-STATE-010-01|EVIDENCE-STATE-010-02,同source config/event序列100次及跨进程owned state/fingerprint逐字段相同；事件排列符合规范排序,planned current-run artifact,PLANNED,等待规格门禁后实现/执行
ALGO-009,AC-ALGO-009-01,Locked规格/决策完整,SEM-ALGO-009-01|SEM-ALGO-009-02|SEM-ALGO-009-03|SEM-ALGO-009-04|SEM-ALGO-009-05|SEM-ALGO-009-06|SEM-ALGO-009-07|SEM-ALGO-009-08,TEST-ALGO-009-01|TEST-ALGO-009-02|TEST-ALGO-009-03|TEST-ALGO-009-04,EVIDENCE-ALGO-009-01|EVIDENCE-ALGO-009-02,迁移图、extensions、canonical数字/Unicode及fallback五项决策Approved并带字节golden,docs/spec-v3/decisions/B1-A_approval_form.md,PASSED,B1-A-DECISIONS 1.0.0选项A已批准
