path,git_status,classification,source_task,related_units,approval_or_audit_reference,evidence_manifest_reference,sha256,byte_size,include_in_checkpoint,reason,risk,owner_decision_required
docs/changelog.md, M,INCLUDE_TASK19_PLAN,TASK18/TASK19,,AGENTS.md rules 6-7,,d0e9b3413a22cf37a8e5d35b15992ee9b17e0631e0650e46024913849a705644,105389,true,Mandatory current recovery baseline and changelog,MEDIUM,false
docs/features/F0005_win_mac_compat.md, M,EXCLUDE_USER_OR_UNRELATED,FEATURE_OR_ENVIRONMENT_BRANCH,,,,b16647058666d1c694512d3ec98ed49ec9e24ad81961d7893699a21b7af1ed2b,9313,false,Separate feature/environment work without Task19 checkpoint authority,MEDIUM,false
docs/features/README.md, M,EXCLUDE_USER_OR_UNRELATED,FEATURE_OR_ENVIRONMENT_BRANCH,,,,322690829b4a621794d4163ad0f00c524006701259b0865dcca84eb521ca267a,8404,false,Separate feature/environment work without Task19 checkpoint authority,MEDIUM,false
docs/status/LATEST.md, M,INCLUDE_TASK19_PLAN,TASK18/TASK19,,AGENTS.md rules 6-7,,c34501dc3651607daf8557418edb20e722d3dffddcf77aa3f6512c23699a4e56,3930,true,Mandatory current recovery baseline and changelog,MEDIUM,false
engine/__init__.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,MULTI_AUDITED_EXPORTS,,,2c068dc8e5cff657381210f1c0b127e2abf752cdc820896b88ec41850152d749,3486,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
engine/deal.py, M,INCLUDE_AUDITED_RESULT,B1-B,STATE-001|STATE-011|STATE-004,B1-B_E5_trace_final.csv,B1-B_E5_trace_final.csv,5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,11408,true,Current production/test artifact hash matches final E5,LOW,false
engine/legal.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,RULE-003,,,c9f17533f856a1b3c3e98f72f435137eb801b2ddbc3f0395b4438800d0f598c5,5671,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
engine/orchestrator.py, M,INCLUDE_AUDITED_RESULT,B1-B,STATE-001|STATE-011|STATE-004,B1-B_E5_trace_final.csv,B1-B_E5_trace_final.csv,3340c9e0348dbdd8149daaee2b2202e7f0511b7cb258ff08265adc3f67c589d8,34949,true,Current production/test artifact hash matches final E5,LOW,false
engine/physical_tile.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_TASK_CODE,ALGO-001,,,3d42acd7b2619478e5c7d6a3069b9224235b454149cb083e2557e956b3ca38f8,5834,true,Production symbol is directly used by an AUDITED unit or its public export closure,HIGH,false
engine/replay.py, M,INCLUDE_REQUIRED_PRODUCTION_BASELINE,B1-A,ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,a98e2e0be1189080d4ee1a1575a50a2ad761676e8a8d2775fe29a31380a38cf5,4103,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",HIGH,false
