unit_id,ac_id,result,locked_basis,evidence,finding
STATE-001,AC-STATE-001-01,PASS,Locked schema,explicit parser and exact error tests,
STATE-001,AC-STATE-001-02,PASS,Frozen config,approved canonical bytes mutation test,
STATE-001,AC-STATE-001-03,PASS,seat binding,2/3/4 and uniqueness tests,
STATE-001,AC-STATE-001-04,PASS,round plan,boundary and score freeze tests,
STATE-001,AC-STATE-001-05,PASS,event/CAS,100 concurrent synchronized retries,
STATE-001,AC-STATE-001-06,PASS,atomic assembly,factory failure zero publication,
STATE-001,AC-STATE-001-07,PASS,immutable context,frozen dataclasses/mapping/canonical bytes,
STATE-001,AC-STATE-001-08,PASS,visibility,safe projection and generic recursive visibility contracts,
STATE-001,AC-STATE-001-09,PASS,compatibility,runner and full repository regression,
STATE-001,AC-STATE-001-10,PASS,completion,last round and terminal absorption,
STATE-001,AC-STATE-001-11,PASS,error codes,direct negative vectors,
STATE-001,AC-STATE-001-12,PASS,determinism,100 subprocess full Match bytes identical,
STATE-001,AC-STATE-001-13,PASS,E4,FINAL-E4-STATE001-NORMAL production chain,
STATE-001,AC-STATE-001-14,PASS,trace/performance,clean 8 semantic/4 test/2 evidence rows and measured baseline,
STATE-011,AC-STATE-011-01,PASS,closed set,108 unique and duplicate injection,
STATE-011,AC-STATE-011-02,PASS,face mapping,physical ID mapping and conservation suite,
STATE-011,AC-STATE-011-03,PASS,legacy golden,approved full exact fixture,
STATE-011,AC-STATE-011-04,PASS,RNG domains,three distinct safe refs and unknown errors,
STATE-011,AC-STATE-011-05,PASS,counts,2/3/4 dealer hands/wall formula,
STATE-011,AC-STATE-011-06,PASS,deal order,approved ordered hand/wall fixture,
STATE-011,AC-STATE-011-07,PASS,conservation,hands plus wall exact closed set,
STATE-011,AC-STATE-011-08,PASS,event/CAS,synchronized idempotency and conflict,
STATE-011,AC-STATE-011-09,PASS,zero commit,three injected fault stages,
STATE-011,AC-STATE-011-10,PASS,visibility,four committed seat views,
STATE-011,AC-STATE-011-11,PASS,hidden perturbation,four-seat paired committed deal hashes,
STATE-011,AC-STATE-011-12,PASS,schedule determinism,100 synchronized retries and stateless RNG schedules,
STATE-011,AC-STATE-011-13,PASS,error codes,dedicated negative vectors,
STATE-011,AC-STATE-011-14,PASS,E4/E5,clean 8 semantic/4 test/2 evidence rows and measured baseline,
STATE-004,AC-STATE-004-01,PASS,Locked enum,exact ten values and adapter,
STATE-004,AC-STATE-004-02,PASS,legal transitions,exact 21 accepted phase-event set,
STATE-004,AC-STATE-004-03,PASS,illegal transitions,all Cartesian nonedges rejected without write,
STATE-004,AC-STATE-004-04,PASS,event/version,idempotency CAS and version increments,
STATE-004,AC-STATE-004-05,PASS,first hu,active removal and continued DRAW,
STATE-004,AC-STATE-004-06,PASS,multi hu,ordered hu sequence and remaining-one finish,
STATE-004,AC-STATE-004-07,PASS,gang replacement,production natural gangs plus three gang effect contracts,
STATE-004,AC-STATE-004-08,PASS,response,pong/gang/claims clearing effect contracts,
STATE-004,AC-STATE-004-09,PASS,settlement,FINISHED to SETTLED and absorption,
STATE-004,AC-STATE-004-10,PASS,rollback,byte-identical authority restoration,
STATE-004,AC-STATE-004-11,PASS,outbox,commit-only delivery and notification failure behavior,
STATE-004,AC-STATE-004-12,PASS,isolation,authority hashes and PlayerView contracts without private payload,
STATE-004,AC-STATE-004-13,PASS,determinism,audit replay and canonical authority chain,
STATE-004,AC-STATE-004-14,PASS,E4/E5,clean 8 semantic/4 test/2 evidence rows and measured baseline,
