delta_id,unit_id,target_semantic,current_behavior,missing_behavior,source_reference,semantic_delta,code_location,test_oracle,boundary_cases,runtime_evidence,acceptance_criteria,interface_impact,blocked_by
SEM-STATE-010-01,STATE-010,注册GP-001..027与RP-001..033且ID唯一,GP/RP常量和60条trace存在,没有权威定义对象的type/unit/min/max/default/nullable/visibility/source完整注册,"03-unit-specs/deterministic_rule_state_specs.md §STATE-010 §§6,11,15; contracts/common_contracts.md §8; 07-traceability/parameter_registry.csv",建立60项不可变ParameterDefinition注册表并启动时校验唯一性/完整性,players/humanlike/parameter_registry.py (new); config.py; runtime.py,逐ID等于GP-001..027∪RP-001..033；重复/漏项分别精确错误,首尾ID、重复、漏项、错误scope,真实load_config→registry→owned state trace,60项逐字段与来源表一致，重复/漏项零提交,NO_INTERFACE_CHANGE,
SEM-STATE-010-02,STATE-010,字段缺失/null/越界/未知字段语义不同,现有GP字段多为exact-key，RP多为None占位,公共参数定义哪些字段可选及default/nullable没有逐字段冻结,"03-unit-specs/deterministic_rule_state_specs.md §STATE-010 §§11,15,16; contracts/common_contracts.md §§2,8; 07-traceability/parameter_registry.csv",按定义区分MISSING_REQUIRED、PARAM_NULL、OUT_OF_RANGE、UNKNOWN_PARAMETER/FIELD,parameter_registry.py; config_validation.py (planned),四类输入各返回不同稳定码且state hash不变,缺失可选、缺失必填、显式null、上下界外、未知键,生产配置加载拒绝trace，before_hash=after_hash,只有注册表声明default的缺省才补值；null仅nullable=true接受,NO_INTERFACE_CHANGE,SPEC-DECISION-STATE-DEFAULTS
SEM-STATE-010-03,STATE-010,GP在整场创建时校验冻结,HumanlikeConfig不可变，但与Match创建未形成统一门禁,准确冻结提交点、match identity绑定和热替换拒绝未接线,"03-unit-specs/deterministic_rule_state_specs.md §STATE-010 §§11,14,15; 07-traceability/parameter_registry.csv GP lifecycle",在STATE-001创建match context前完成GP commit；提交后任何写返回LIFECYCLE_VIOLATION,players/humanlike/config.py; engine/orchestrator.py; planned registry,冻结前可构造、冻结后任一GP写失败且版本/hash不变,创建失败、重复freeze、跨match复用、热替换,真实orchestrator创建match的STATE-010 accepted trace,GP仅在新match或新规则版本创建时变化,NO_INTERFACE_CHANGE,
SEM-STATE-010-04,STATE-010,RP按局创建、授权事件更新、局末冻结归档、新局重建,RoundRuntime有create/apply/decision/finalize，无归档对象和完整授权表,33项准确创建/更新/reset/archive时点与按ID授权事件表不完整,"03-unit-specs/deterministic_rule_state_specs.md §STATE-010 §§11,12,15; 07-traceability/parameter_registry.csv RP lifecycle",以registry lifecycle生成RP授权矩阵；round_start创建，事件后按定义更新，round_end finalize+archive，新局新实例,players/humanlike/runtime.py; parameter_registry.py,每个RP至少一个允许事件和一个拒绝事件；archive不可变；新局无旧局瞬时值,未开始、active、deciding、finalized、重复归档、迟到事件,真实一局从deal到settlement的RP lifecycle trace,RP只在来源表授权时点更新，归档后不可写，新局仅显式跨局输入可继承,NO_INTERFACE_CHANGE,SPEC-DECISION-RP-ARCHIVE
SEM-STATE-010-05,STATE-010,四座profile独立且不得串座,4个PlayerProfile及GP-024..027深冻结对象独立,缺少owner字段、seat授权校验和全生命周期串座防护,"STATE-010 §§10,11,15,17; common_contracts §2 SeatId",每项seat-owned状态绑定owner_seat；读写必须匹配actor/seat；四座独立快照,config.py; runtime.py; parameter_registry.py,只修改seat2授权RP，其他三座逐字段/hash不变；错误seat=PROFILE_MISMATCH,seat -1/4、重复seat、交换容器顺序、跨座引用,生产四座装配与一局更新trace含每座独立hash,任何单座事件不得改变其他座owned parameter state,NO_INTERFACE_CHANGE,
SEM-STATE-010-06,STATE-010,RECEIVED→VALIDATED→RESOLVED→COMMITTED或REJECTED，提交仅一次,config校验和settings原子文件替换各自存在，无统一权威事务,缺少event_id幂等/迟到/冲突、版本CAS和失败零写入事务,"STATE-010 §§12,14,17",实现单写者compare-and-swap事务；先在临时结果完成全校验再一次提交,parameter_registry.py; runtime.py; settings_service.py adapter,每个失败注入点before snapshot/hash/version=after；成功version+1；重复event拒绝,解析/迁移/resolve/commit前后故障、重复和乱序event,生产调用trace记录phase/version/hash前后,失败无部分输出，成功只提交一次，并发排列等价串行,NO_INTERFACE_CHANGE,
SEM-STATE-010-07,STATE-010,输出owned state、accepted、next version、稳定错误、audit ref、fingerprint,当前HumanlikeConfig/RuntimeSnapshot没有统一结果信封,缺少规范结果信封及deterministic fingerprint输入集合,STATE-010 §13,新增模块内部State010Result，不改变Frozen跨模块DTO,parameter_registry.py,固定输入golden逐字段/指纹相等；失败result=null,纯查询、失败、成功、hash字段缺失,生产trace保存输入/输出hash和audit_ref,结果字段齐全且fingerprint对canonical输入0误差,COMPATIBLE_EXTENSION,
SEM-STATE-010-08,STATE-010,逐座/阶段可见性，种子值私有,策略目前消费HumanlikeConfig及PlayerView；无统一owned-state投影,必须阻止原始registry/seed/private lifecycle进入策略,"STATE-010 §§5,9,15,18; common_contracts §§1,8",策略仅消费现有PlayerView白名单及非敏感config_hash，不传registry对象或seed,parameter_registry.py; player.py/view.py adapters,隐藏字段删除/扰动后同visible state决策一致；对象图不可达私有字段,对象引用、缓存、日志、派生字段投毒,production decision trace的输入schema白名单,策略侧不可取得私有参数源、seed或未来生命周期信息,NO_INTERFACE_CHANGE,
SEM-ALGO-009-01,ALGO-009,解析→版本→逐迁移→默认→类型/范围→交叉约束→拒未知→canonical/hash→冻结,load_config先根字段exact校验及兼容组合，再仅执行1.0/2.0→1.1/2.1迁移,当前顺序与Locked不一致；无统一逐阶段结果,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §§3,5",严格按Locked顺序纯函数流水线；每阶段只产临时值,engine/config_validation.py (new); players/humanlike/config.py,阶段故障注入验证后续阶段不执行且无输出,解析失败、未知版本、每一步迁移失败,真实settings/load_config阶段trace,阶段顺序固定，任一步失败result=null,NO_INTERFACE_CHANGE,
SEM-ALGO-009-02,ALGO-009,每个支持版本存在唯一逐步迁移路径且幂等,compatibility.json列组合；代码仅一条特例迁移,没有冻结完整版本节点/边/废弃字段转换,"03-unit-specs/deterministic_algorithm_scoring_specs.md §ALGO-009 §§3,5,10,13; versioning_policy.md",建立显式migration graph和逐边纯迁移函数；不允许跳跃或猜测,config_validation.py; configs/humanlike_v2/compatibility.json,每个声明旧版本有唯一到current路径；二次迁移字节不变,无路径、多路径、循环、未来版本、重复迁移,生产旧配置加载trace列migration_steps,所有受支持版本路径由批准决策逐边列明,NO_INTERFACE_CHANGE,SPEC-DECISION-MIGRATION-GRAPH
