unit_id,delta_id,source_reference,acceptance_ids,code_symbols,test_references,runtime_evidence_ids,artifact_hashes,result,finding
STATE-001,SEM-STATE-001-01,STATE-001,AC-01,MatchCreateRequest|MatchController.create,test_state_001|test_b1b_remediation,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-FAILURE,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,SEM-STATE-001-02,STATE-001/Frozen-v2,AC-02|08,MatchContext|FrozenConfigV2,test_b1b_remediation,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-DETERMINISM,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,SEM-STATE-001-03,STATE-001,AC-03,SeatBinding|MatchController._validate,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,SEM-STATE-001-04,STATE-001,AC-04,MatchController.create|complete_round,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY,tests=3be28e67fccdbbc7e0effe2e50b724fe50dba0ead8c6ab8818b262ac8d840d95,PASS,
STATE-001,SEM-STATE-001-05,STATE-001,AC-05|12,MatchController._events|RLock,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY|FINAL-E4-STATE001-DETERMINISM,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,SEM-STATE-001-06,STATE-001,AC-06,MatchController.create|prepared_players,test_state_001,FINAL-E4-STATE001-FAILURE,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,SEM-STATE-001-07,STATE-001,AC-07|08|09,MatchContext.public_projection,test_b1b_remediation|player_view,FINAL-E4-STATE001-NORMAL,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-001,SEM-STATE-001-08,STATE-001,AC-10|13|14,MatchResult|complete_round,test_b1b_remediation,FINAL-E4-STATE001-NORMAL|FINAL-E4-STATE001-DETERMINISM,match=4a1159dacf8e60df657ea348911274aa1e6d19e24766437b7f41f0d618b45e26,PASS,
STATE-011,SEM-STATE-011-01,STATE-011,AC-01|02|07,DealTransaction.execute,test_state_011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-FAILURE,deal=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-011,SEM-STATE-011-02,STATE-011/ALGO-011,AC-03|04|13,DealTransaction|select_rng_version,test_b1a_algo011|test_b1b_remediation,FINAL-E4-STATE011-DETERMINISM|FINAL-E4-STATE011-FAILURE,fixture=617ec71a752b8544b30651a93d3ca81c6b56eed60123c7f24637b459be073d1b,PASS,
STATE-011,SEM-STATE-011-03,STATE-011/ALGO-011,AC-04|12,derive_coordinate_seed|domain_trace_refs,test_b1a_algo011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-DETERMINISM,deal=5233561b1edf7fa8056981d49ba873407f987fa57c25f2b84344f52b46b63b2e,PASS,
STATE-011,SEM-STATE-011-04,STATE-011,AC-05|06|07,create_dealt_game|DealTransaction,test_state_011|golden,FINAL-E4-STATE011-NORMAL|FINAL-E4-STATE011-BOUNDARY,fixture=617ec71a752b8544b30651a93d3ca81c6b56eed60123c7f24637b459be073d1b,PASS,
