unit_id,delta_id,source_reference,acceptance_ids,code_symbols,test_references,runtime_evidence_ids,artifact_hashes,result,finding
STATE-001,SEM-STATE-001-01,STATE-001,AC-01,MatchCreateRequest|MatchController.create,test_state_001|test_b1b_remediation,FINAL-E4-STATE001-NORMAL|FAILURE,match=4a1159da,PASS,
STATE-001,SEM-STATE-001-02,STATE-001/Frozen-v2,AC-02|08,MatchContext|FrozenConfigV2,test_b1b_remediation,FINAL-E4-STATE001-NORMAL|DETERMINISM,match=4a1159da,PASS,
STATE-001,SEM-STATE-001-03,STATE-001,AC-03,SeatBinding|MatchController._validate,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY,tests=3be28e67,PASS,
STATE-001,SEM-STATE-001-04,STATE-001,AC-04,MatchController.create|complete_round,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY,tests=3be28e67,PASS,
STATE-001,SEM-STATE-001-05,STATE-001,AC-05|12,MatchController._events|RLock,test_b1b_remediation,FINAL-E4-STATE001-BOUNDARY|DETERMINISM,match=4a1159da,PASS,
STATE-001,SEM-STATE-001-06,STATE-001,AC-06,MatchController.create|prepared_players,test_state_001,FINAL-E4-STATE001-FAILURE,match=4a1159da,PASS,
STATE-001,SEM-STATE-001-07,STATE-001,AC-07|08|09,MatchContext.public_projection,test_b1b_remediation|player_view,FINAL-E4-STATE001-NORMAL,match=4a1159da,PASS,
STATE-001,SEM-STATE-001-08,STATE-001,AC-10|13|14,MatchResult|complete_round,test_b1b_remediation,FINAL-E4-STATE001-NORMAL|DETERMINISM,match=4a1159da,PASS,
STATE-011,SEM-STATE-011-01,STATE-011,AC-01|02|07,DealTransaction.execute,test_state_011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|FAILURE,deal=5233561b,PASS,
STATE-011,SEM-STATE-011-02,STATE-011/ALGO-011,AC-03|04|13,DealTransaction|select_rng_version,test_b1a_algo011|test_b1b_remediation,FINAL-E4-STATE011-DETERMINISM|FAILURE,fixture=617ec71a,PASS,
STATE-011,SEM-STATE-011-03,STATE-011/ALGO-011,AC-04|12,derive_coordinate_seed|domain_trace_refs,test_b1a_algo011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|DETERMINISM,deal=5233561b,PASS,
STATE-011,SEM-STATE-011-04,STATE-011,AC-05|06|07,create_dealt_game|DealTransaction,test_state_011|golden,FINAL-E4-STATE011-NORMAL|BOUNDARY,fixture=617ec71a,PASS,
STATE-011,SEM-STATE-011-05,STATE-011,AC-08,DealTransaction._events|RLock,test_state_011|test_b1b_remediation,FINAL-E4-STATE011-NORMAL|DETERMINISM,deal=5233561b,PASS,
STATE-011,SEM-STATE-011-06,STATE-011,AC-09|13,DealTransaction.inject_fault,test_b1b_remediation,FINAL-E4-STATE011-FAILURE,deal=5233561b,PASS,
STATE-011,SEM-STATE-011-07,STATE-011/RULE-016,AC-10|11,PlayerViewBuilder.build,test_b1b_remediation|player_view,FINAL-E4-STATE011-BOUNDARY,tests=3be28e67,PASS,
STATE-011,SEM-STATE-011-08,STATE-011,AC-03|12|14,create_dealt_game|DealTransaction,test_b1b_remediation|test_b1a_algo011,FINAL-E4-STATE011-DETERMINISM,fixture=617ec71a,PASS,
STATE-004,SEM-STATE-004-01,STATE-004,AC-01,RoundPhase|phase_from_legacy,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-NORMAL|BOUNDARY,round=e34f6e9a,PASS,
STATE-004,SEM-STATE-004-02,STATE-004,AC-02|03,_EVENT_EDGES|RoundStateMachine._resolve,test_b1b_remediation,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67,PASS,
STATE-004,SEM-STATE-004-03,STATE-004,AC-04,RoundStateMachine.transition|RLock,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-FAILURE|DETERMINISM,round=e34f6e9a,PASS,
STATE-004,SEM-STATE-004-04,STATE-004/RULE-014,AC-05|06,RoundStateMachine._resolve|apply_legacy_transaction,test_b1b_remediation|blood_battle,FINAL-E4-STATE004-BOUNDARY,tests=3be28e67,PASS,
STATE-004,SEM-STATE-004-05,STATE-004,AC-07|08,apply_legacy_transaction|apply_action,test_b1b_remediation|blood_battle,FINAL-E4-STATE004-NORMAL|BOUNDARY,orchestrator=3340c9e0,PASS,
STATE-004,SEM-STATE-004-06,STATE-004,AC-09,RoundStateMachine.transition|finalize_game,test_state_004|test_b1b_remediation,FINAL-E4-STATE004-NORMAL,round=e34f6e9a,PASS,
STATE-004,SEM-STATE-004-07,STATE-004,AC-10|11|12,apply_legacy_transaction|outbox,test_b1b_remediation|player_view,FINAL-E4-STATE004-FAILURE|NORMAL,round=e34f6e9a,PASS,
STATE-004,SEM-STATE-004-08,STATE-004,AC-12|13|14,audit_records|canonical_hash,test_b1b_remediation|audit_replay,FINAL-E4-STATE004-DETERMINISM|NORMAL,orchestrator=3340c9e0,PASS,
STATE-001,TEST-STATE-001-01,B1-B-test-deltas,AC-01|02|08|11,MatchController,tests/spec_v3/test_state_001.py,FINAL-E4-STATE001-NORMAL|FAILURE,tests=3be28e67,PASS,
