unit_id,unit_name,category,task17_status,primary_completion_path,gap_spec,gap_code,gap_direct_test,gap_branch_test,gap_integration,gap_runtime,gap_trace,gap_boundary,gap_reproducibility,gap_model_data,gap_performance,gap_atomicity,code_refs,test_refs,runtime_refs,rule_refs,spec_refs,dependencies,estimated_complexity,recommended_batch,recommended_action,audit_exit_criteria,notes
RULE-001,规则、参数、不变量与合法性裁决优先级,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,true,engine/blood_battle.py::active_seats|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key|players/humanlike/config.py::HumanlikeConfig|players/humanlike/config.py::_validate_global_parameters|players/humanlike/config.py::load_config|players/humanlike/traceability.py::ParameterTrace|players/humanlike/traceability.py::_gp_consumer|players/humanlike/traceability.py::_rp_consumer|protocols/player_view_builder.py::PlayerViewBuilder|protocols/player_view_builder.py::build,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash|tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order|tests/humanlike_v2/test_config.py::test_invalid_range_fails|tests/humanlike_v2/test_config.py::test_missing_gp_fails|tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails|tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail|tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent|tests/humanlike_v2/test_config.py::test_unknown_version_fails|tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts|tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes|tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel|tests/test_analysis.py::test_an03_strategy_best_min_shanten,,AU-001 人类化决策规则：第 0—6 章 / 0. 范围与合法性优先；AU-031 人类化决策规则：第 7—14 章 / 9.1 响应优先；AU-052 程序实现规范：第 0—10 章 / 1.3 冲突裁决,03-unit-specs/deterministic_rule_state_specs.md,STATE-002|STATE-010|ALGO-009,MEDIUM,B1-C1,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；规则裁决、参数解析和不变量执行具有不同变化轴；进入实现批次前确认是否保留门面并拆为内部组件；Task17状态保持不变；本表是计划分型，不是新验收
RULE-002,换三张同花色、方向与提交合法性,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/exchange.py::resolve_exchange_direction|engine/exchange.py::resolve_exchange_tiles|engine/exchange.py::validate_exchange_tiles|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_dingque|engine/opening.py::submit_exchange,tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t02_auto_dice_mapping|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_exchange_dingque.py::test_t06_overwrite_pending|tests/test_exchange_dingque.py::test_t07_fixed_clockwise|tests/test_exchange_dingque.py::test_t09_dingque_overwrite|tests/test_legal_actions.py::test_response_has_pass,,AU-010 人类化决策规则：第 0—6 章 / 5. 换三张合法性；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine,03-unit-specs/deterministic_rule_state_specs.md,STATE-003|STATE-011|ALGO-001,MEDIUM,B1-C1,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-004,定缺、死叫与胡牌资格约束,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|engine/win_check.py::WinCheckResult|engine/win_check.py::WinForm|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key|protocols/player_view_builder.py::PlayerViewBuilder|protocols/player_view_builder.py::build,tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts|tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes|tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass|tests/test_win_fan.py::test_w01_standard_win|tests/test_win_fan.py::test_w02_seven_pairs,,AU-013 人类化决策规则：第 0—6 章 / 6. 清缺约束；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言,03-unit-specs/deterministic_rule_state_specs.md,STATE-003|ALGO-002,MEDIUM,B1-C2,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-005,座位、庄家与活动顺序,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/deal.py::create_dealt_game|engine/dice.py::DiceResult|engine/dice.py::to_dict|engine/game_id.py::DerivedSeeds|engine/game_id.py::normalize_game_id|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/orchestrator.py::PlayerGameRunner|engine/orchestrator.py::run|engine/session.py::GameSession|engine/session.py::apply|engine/session.py::play_random_game|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key|protocols/player_view_builder.py::PlayerViewBuilder|protocols/player_view_builder.py::build,tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action|tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots|tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat|tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel|tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories|tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts|tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes|tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_b10_random_games_terminate|tests/test_blood_battle.py::test_b11_more_random|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_legal_actions.py::test_response_has_pass,,AU-006 人类化决策规则：第 0—6 章 / 3. 定庄与座位；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-065 程序实现规范：第 0—10 章 / 4.2 玩家与活动顺序；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言,03-unit-specs/deterministic_rule_state_specs.md,STATE-002,MEDIUM,B1-C1,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-006,摸牌、可选响应与出牌标准顺序,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/orchestrator.py::PlayerGameRunner|engine/orchestrator.py::_play_seat_action|engine/orchestrator.py::run|players/humanlike/player.py::HumanlikeV2Player|players/humanlike/player.py::decide|players/humanlike/player.py::observe,tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots|tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision|tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic|tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel|tests/humanlike_v2/test_humanlike_player_integration.py::test_registry_exposes_humanlike_without_changing_old_defaults|tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_legal_actions.py::test_response_has_pass|tests/test_session_scores.py::test_second_hand_starts_from_previous_totals|tests/test_session_scores.py::test_starting_scores_applied_at_run_start,,AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine,03-unit-specs/deterministic_rule_state_specs.md,STATE-004|STATE-011,MEDIUM,B1-C1,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-007,碰牌资格、执行与后续出牌,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key|players/humanlike/config.py::HumanlikeConfig|players/humanlike/config.py::load_config,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash|tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order|tests/humanlike_v2/test_config.py::test_invalid_range_fails|tests/humanlike_v2/test_config.py::test_missing_gp_fails|tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails|tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail|tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent|tests/humanlike_v2/test_config.py::test_unknown_version_fails|tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass,,AU-034 人类化决策规则：第 7—14 章 / 9.4 碰牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析,03-unit-specs/deterministic_rule_state_specs.md,RULE-001|STATE-003,MEDIUM,B1-C2,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-008,明杠、暗杠与补杠资格及执行,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|players/humanlike/belief.py::PublicBelief|players/humanlike/belief.py::build_public_belief|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass,,AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析,03-unit-specs/deterministic_rule_state_specs.md,RULE-001|STATE-003|STATE-011,MEDIUM,B1-C2,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-009,补杠抢杠胡窗口与解析,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|players/humanlike/belief.py::PublicBelief|players/humanlike/belief.py::build_public_belief|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass,,AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析,03-unit-specs/deterministic_rule_state_specs.md,RULE-008|RULE-010,MEDIUM,B1-C3,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-010,自摸、点炮与抢杠胡资格,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass,,AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析,03-unit-specs/deterministic_rule_state_specs.md,RULE-001|STATE-003|ALGO-002,MEDIUM,B1-C2,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
RULE-011,过胡设置、持续与恢复,RULE,PARTIAL,PATH-SEMANTIC-COMPLETION,false,true,true,true,true,true,true,true,true,false,true,false,engine/blood_battle.py::active_seats|engine/blood_battle.py::apply_action|engine/blood_battle.py::next_active|engine/legal.py::action_in_legal|engine/legal.py::legal_actions|engine/legal.py::legal_discards|engine/opening.py::begin_opening|engine/opening.py::submit_exchange|players/humanlike/candidates.py::CandidateSet|players/humanlike/candidates.py::build_candidates|players/humanlike/candidates.py::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free|tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap|tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit|tests/test_analysis.py::test_an03_strategy_best_min_shanten|tests/test_blood_battle.py::test_b02_discard_pass_cycle|tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu|tests/test_blood_battle.py::test_force_complete_response_unblocks|tests/test_blood_battle.py::test_illegal_action|tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles|tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque|tests/test_exchange_dingque.py::test_t04_multiset_transfer|tests/test_exchange_dingque.py::test_t05_illegal_exchange|tests/test_legal_actions.py::test_response_has_pass,,AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析,03-unit-specs/deterministic_rule_state_specs.md,RULE-010|STATE-003,MEDIUM,B1-C2,对照Locked规格逐字段核验候选实现，补齐缺失语义并建立直接、分支、集成、回放与性能证据,同一版本scope内：Locked规格无歧义；非占位生产实现覆盖主要语义并接入正确调用链；直接/分支/边界测试通过；运行证据含unit_id、scenario/game_id、输入摘要、参数版本、seed、中间结果、输出、调用位置和测试/回放引用；追踪闭环；性能达规格；AC-01～AC-14适用项全Passed且独立审计通过,存在复合旧实现候选，但未隔离为v3单元，schema/错误/参数/状态/审计绑定及生产trace未按锁定规格核验；缺少锁定单元的直接测试及四类验收证据；Task17状态保持不变；本表是计划分型，不是新验收
