change_id,area,v1_behavior,v2_approved_behavior,compatibility,version,implementation_location,test_oracle,approval_status
FCV2-001,canonical discriminator,missing canonical_version accepted by legacy readers,new writes require canonical-jcs-nfc-v2; old missing maps legacy-json-v1 only by old record version,read adapter only,CONTRACTS 2.0/PARAMS 2.0,config schema and ALGO-009,missing field old accepted as legacy; missing field new SCHEMA_INVALID,APPROVED
FCV2-002,number bytes,Python json numeric rendering,NFC+RFC8785 JCS; -0 to 0; nonfinite rejected; Decimal half-even by field scale,dual hash algorithms,CONTRACTS 2.0,canonical encoder,approved byte and SHA-256 golden exact,APPROVED
FCV2-003,Unicode bytes,Python code-point sorting/no normalization,NFC then JCS UTF-16 unit sorting and escaping,dual hash algorithms,CONTRACTS 2.0,canonical encoder,NFC/NFD same bytes; normalized key collision SCHEMA_INVALID,APPROVED
FCV2-004,DecisionResult seed field,seed_trace object may contain full trace,required seed_trace_ref safe projection; no secret seed material,breaking field migration,CONTRACTS 2.0,decision schema/serializer,forbidden fields absent from strategy object graph and JSON,APPROVED
FCV2-005,restricted seed trace,not separated,SeedTraceV2Restricted in restricted audit store linked by trace_ref,new restricted payload,Audit format 2,engine RNG/audit writer,authorized reader can replay; policy/trainer observation cannot access,APPROVED
FCV2-006,RNG record version,missing/current implicit,old missing→legacy-v1; new writes explicit algorithm_version=2 and rng_version=2,old read adapter,Replay/Audit 2,replay header/reader,old golden unchanged; new missing field SCHEMA_INVALID,APPROVED
FCV2-007,RNG coordinate,implicit mutable/dispersed randomness,explicit stateless logical coordinate; no scheduler material,new v2 streams only,RNG 2,game_id/RNG facade,100 schedule permutations yield same coordinate outputs,APPROVED
FCV2-008,parameter version,PARAMS 1.1,PARAMS 2.0 with strict required/null and empty extensions,explicit migration edge,PARAMS 2.0,registry/config validation,v1→v2 does not change business parameter values,APPROVED
FCV2-009,config failure,exceptions/atomic file replace,first startup hard fail; hot reload keeps old active and reports failure,compatible result extension,IMPL next major/minor,settings/config manager,before/after active hash and file bytes equal on every failure,APPROVED
FCV2-010,RP archive,in-memory finalized snapshot,restricted immutable per-seat RP-001..033 archive; new round copies none,compatible archive extension,Audit format 2,runtime/archive adapter,archive immutable and four-seat/new-round isolation,APPROVED
