parameter_id,parameter_name,parameter_kind,effect_step_category,scope,lifecycle_or_update,visibility,consumer_unit_ids
GP-001,规则版本,全局配置 GP,配置加载与整场初始化,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-007|STATE-008|STATE-010
GP-002,规则集标识,全局配置 GP,配置加载与整场初始化,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-003,整场游戏配置,全局配置 GP,整场初始化与跨局控制,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007
GP-004,牌组配置,全局配置 GP,牌墙构建与发牌,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-005,换三张配置,全局配置 GP,换三张,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-006,定缺配置,全局配置 GP,定缺,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-007,基本动作配置,全局配置 GP,行牌与合法动作,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010
GP-008,多人响应优先级,全局配置 GP,多人响应解析,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-012|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009
GP-009,胡牌权限配置,全局配置 GP,胡牌资格与响应,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009
GP-010,牌墙与终止配置,全局配置 GP,牌墙推进与终局判定,match_global,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009
