unit_id,ac_id,check,semantic_delta_ids,test_delta_ids,evidence_delta_ids,objective_test_oracle,evidence_source,gate_status,blocking_reason
STATE-001,AC-STATE-001-01,规格与schema,SEM-STATE-001-01,TEST-STATE-001-01,EVIDENCE-STATE-001-02,MatchCreateRequest必填字段集合与Locked §9逐项相等且未知字段返回SCHEMA_INVALID,deterministic_rule_state_specs.md#STATE-001,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-02,版本与配置冻结,SEM-STATE-001-02,TEST-STATE-001-01,EVIDENCE-STATE-001-01,原config递归突变后MatchContext canonical bytes和config_hash均不变化,STATE-001 §11 §15; Frozen v2,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-03,座位装配,SEM-STATE-001-03,TEST-STATE-001-02,EVIDENCE-STATE-001-01,2/3/4座各自产生升序唯一binding且重复seat准确返回DUPLICATE_SEAT,STATE-001 §11 §19,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-04,局数初分庄家,SEM-STATE-001-04,TEST-STATE-001-02,EVIDENCE-STATE-001-02,total_rounds 1和10000接受而0和10001拒绝;各seat初分逐字段冻结,GP-003; STATE-001 §6,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-05,event幂等和CAS,SEM-STATE-001-05,TEST-STATE-001-03,EVIDENCE-STATE-001-01,100个并发同event只有一个commit且同payload重试返回相同result hash,STATE-001 §12 §17,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-06,失败原子装配,SEM-STATE-001-06,TEST-STATE-001-02,EVIDENCE-STATE-001-01,任一座factory失败时on_join调用总数为0且authority hash/version不变,STATE-001 §11 §14,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-07,不可变输出,SEM-STATE-001-07,TEST-STATE-001-04,EVIDENCE-STATE-001-02,对MatchContext任一嵌套写入均失败且序列化前后hash相同,STATE-001 §13-15,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-08,信息边界,SEM-STATE-001-02|SEM-STATE-001-07,TEST-STATE-001-01|TEST-STATE-001-04,EVIDENCE-STATE-001-01,四座PlayerView递归扫描不含master_seed/原始seed/profile私有字段,STATE-001 §5 §9 §15,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-09,下游兼容,SEM-STATE-001-07,TEST-STATE-001-04,EVIDENCE-STATE-001-01,legacy PlayerGameRunner和training env现有测试全部通过且新投影字段集合固定,STATE-001 §4,REVIEW_REQUIRED,awaiting design approval
STATE-001,AC-STATE-001-10,整场完成,SEM-STATE-001-08,TEST-STATE-001-04,EVIDENCE-STATE-001-01,第total_rounds个已结算结果后status=COMPLETED且再次提交返回TERMINAL_STATE,STATE-001 §11,REVIEW_REQUIRED,awaiting design approval
