batch_id,batch_name,track_id,unit_ids,unit_count,internal_order,external_dependencies,in_batch_dependencies,unlocks,completion_path,design_status,implementation_status,audit_status,model001_gate,expected_shared_interfaces,global_document_impact
T19-B2A1,B2-A1 approved deterministic prerequisites,TRACK-DETERMINISTIC,STATE-002|STATE-003|ALGO-002,3,STATE-002 -> STATE-003 -> ALGO-002,,STATE-002->STATE-003|STATE-003->ALGO-002,T19-A01|T19-D01|T19-D02|T19-D04|T19-D05|T19-D11|T19-D14|T19-H01|T19-H02|T19-H05|T19-H06,PATH-SEMANTIC-COMPLETION,APPROVED,READY_FOR_IMPLEMENTATION,NOT_STARTED,NONE,invariants.py|legal.py|player_view_v2.py|shanten.py|state.py|win_check.py,DELTA_ONLY; Terminal 0 owns global files
T19-D01,Rule foundation A,TRACK-DETERMINISTIC,RULE-001|RULE-005,2,RULE-001 -> RULE-005,T19-B2A1,,T19-A02|T19-D03|T19-D04|T19-D05|T19-D06|T19-D11|T19-T01,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|deal.py|dice.py|game_id.py|legal.py|orchestrator.py|player_view_builder.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D02,Rule foundation B,TRACK-DETERMINISTIC,RULE-002|RULE-006|RULE-015,3,RULE-002 -> RULE-006 -> RULE-015,T19-B2A1,,T19-D07|T19-D08|T19-H01|T19-H02,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|exchange.py|fan.py|legal.py|opening.py|orchestrator.py,DELTA_ONLY; Terminal 0 owns global files
T19-D03,Decision prerequisites,TRACK-DETERMINISTIC,STATE-009|ALGO-006,2,STATE-009 -> ALGO-006,T19-D01,STATE-009->ALGO-006,T19-A01|T19-D12|T19-D14|T19-H06,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,legal.py|orchestrator.py|player_view_builder.py|player_view_v2.py,DELTA_ONLY; Terminal 0 owns global files
T19-D04,Claim rules A,TRACK-DETERMINISTIC,RULE-004|RULE-010|RULE-011,3,RULE-004 -> RULE-010 -> RULE-011,T19-B2A1|T19-D01,RULE-010->RULE-011,T19-D05|T19-D06|T19-D07|T19-D08,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|opening.py|player_view_builder.py|win_check.py,DELTA_ONLY; Terminal 0 owns global files
T19-D05,Claim rules B,TRACK-DETERMINISTIC,RULE-007|RULE-008|RULE-012,3,RULE-007 -> RULE-008 -> RULE-012,T19-B2A1|T19-D01|T19-D04,,T19-D06|T19-D07|T19-H05|T19-H07,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|opening.py,DELTA_ONLY; Terminal 0 owns global files
T19-D06,Response rules,TRACK-DETERMINISTIC,RULE-009|RULE-013|RULE-014,3,RULE-009 -> RULE-013 -> RULE-014,T19-D01|T19-D04|T19-D05,RULE-009->RULE-013,T19-D07|T19-H07|T19-T04,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,audit.py|blood_battle.py|deal.py|dice.py|fan.py|game_id.py|legal.py|opening.py,DELTA_ONLY; Terminal 0 owns global files
T19-D07,Immediate scoring,TRACK-DETERMINISTIC,SCORE-002|SCORE-003,2,SCORE-002 -> SCORE-003,T19-D02|T19-D04|T19-D05|T19-D06,,T19-D08|T19-H07,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|legal.py|orchestrator.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D08,Terminal scoring A,TRACK-DETERMINISTIC,SCORE-004|SCORE-005,2,SCORE-004 -> SCORE-005,T19-D02|T19-D04|T19-D07,SCORE-004->SCORE-005,T19-D09,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|orchestrator.py|session.py,DELTA_ONLY; Terminal 0 owns global files
T19-D09,Terminal scoring B,TRACK-DETERMINISTIC,SCORE-006,1,SCORE-006,T19-D08,,T19-D13|T19-H02,PATH-SEMANTIC-COMPLETION,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,NOT_STARTED,NONE,blood_battle.py|fan.py|orchestrator.py|score.py|session.py,DELTA_ONLY; Terminal 0 owns global files
