parameter_id,parameter_name,scope,data_type_and_range,lifecycle_or_update,visibility,authoritative_source,source_section,source_sha256,consumer_unit_ids,boundary_test_ids,authority_note
GP-001,规则版本,match_global,"字符串与布尔值；`rule_version=""CDMJ-AI-RULES 1.0.0""`；`parameter_version=""CDMJ-AI-PARAMS 1.0.0""`；`locked=true`。不允许空值。",整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-007|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-007-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-002,规则集标识,match_global,"枚举与字符串；`ruleset=""chengdu_xuezhan_daodi""`为必选；`platform_ruleset_id`长度1—128字符；可选扩展列表长度0—64。",整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-003,整场游戏配置,match_global,"结构体；`total_rounds`整数1—10000；`starting_score`整数-1,000,000,000—1,000,000,000；排名方式为`total_score`、`rank_points`或`custom`；提前结束阈值可关闭，开启时与得分使用相同范围。",整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01|T-TRAIN-001-B01|T-TRAIN-007-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-004,牌组配置,match_global,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-001-B01|T-AUDIT-002-B01|T-AUDIT-003-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-005,换三张配置,match_global,布尔、整数和枚举；`enabled`为布尔值；启用时`exchange_count=3`、`same_suit_required=true`；方向为`left`、`right`、`opposite`、`dice`或`random`；来源可见性由[GP-021](#gp-021)控制。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-006,定缺配置,match_global,布尔和枚举；`enabled=true`；缺门只能为`wan`、`tong`、`tiao`；`force_discard_missing_suit`为布尔值；`allow_hu_before_cleared=false`；定缺提交时限服从[GP-022](#gp-022)。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-007,基本动作配置,match_global,动作开关集合；`draw`、`discard`、`peng`、`ming_gang`、`an_gang`、`bu_gang`、`qiang_gang_hu`取`true/false`；`chi=false`为锁定值。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-008,多人响应优先级,match_global,有序枚举；`hu`必须高于碰杠；`gang`与`peng`的先后由平台规则明确，允许`hu > gang > peng > pass`或`hu > peng/gang_by_seat > pass`；`multi_hu`取`true/false`；同级座位优先为`nearest_from_discarder`或平台确定性顺序。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-012|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-012-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-MODEL-004-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01|T-TRAIN-001-B01|T-TRAIN-007-B01|T-TRAIN-008-B01|T-TRAIN-009-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-009,胡牌权限配置,match_global,枚举和整数；过胡模式为`none`、`until_self_draw`、`until_value_increase`或`platform_custom`；点炮、自摸、抢杠胡可放弃开关为布尔值；强制胡牌剩余张阈值为整数0—4，0表示关闭。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-MODEL-004-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01|T-TRAIN-001-B01|T-TRAIN-007-B01|T-TRAIN-008-B01|T-TRAIN-009-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
GP-010,牌墙与终止配置,match_global,整数和枚举；总牌数固定108；四家发牌共53张后，标准剩余牌墙为55张；终止胡牌家数固定3；保留尾牌数0—16；杠后补牌来源为`wall_tail`或平台指定位置。,整场创建时加载、校验并冻结；仅新match/规则版本可变,配置/权威私有；仅经GP-021和PlayerView白名单公开,成都麻将AI人类化决策规则_v1.md,§17.2+§18.3,6cbb4d4465abfd947b6cf7f1783db99408089d4e1646849a3afe674114267992,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|MODEL-004|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007|TRAIN-008|TRAIN-009,T-ALGO-001-B01|T-ALGO-003-B01|T-ALGO-004-B01|T-ALGO-005-B01|T-ALGO-006-B01|T-ALGO-008-B01|T-ALGO-009-B01|T-AUDIT-004-B01|T-AUDIT-005-B01|T-AUDIT-008-B01|T-AUDIT-010-B01|T-AUDIT-011-B01|T-AUDIT-013-B01|T-HEUR-003-B01|T-HEUR-015-B01|T-MODEL-001-B01|T-MODEL-002-B01|T-MODEL-004-B01|T-RULE-001-B01|T-RULE-002-B01|T-RULE-003-B01|T-RULE-004-B01|T-RULE-005-B01|T-RULE-006-B01|T-RULE-007-B01|T-RULE-008-B01|T-RULE-009-B01|T-RULE-010-B01|T-RULE-011-B01|T-RULE-012-B01|T-RULE-013-B01|T-RULE-014-B01|T-RULE-015-B01|T-SCORE-002-B01|T-SCORE-003-B01|T-SCORE-004-B01|T-SCORE-005-B01|T-SCORE-006-B01|T-STATE-001-B01|T-STATE-004-B01|T-STATE-008-B01|T-STATE-010-B01|T-TRAIN-001-B01|T-TRAIN-007-B01|T-TRAIN-008-B01|T-TRAIN-009-B01,索引锁定来源；冲突时源文件及Approved单元规格优先，本表不得覆盖公式
