unit_id,ac_id,input,operation,expected_output,error_code,quantitative_judgment,semantic_delta_refs,test_delta_refs,evidence_delta_refs,allowed_error_codes,approval_status
STATE-002,AC-STATE-002-01,Valid normal request,Invoke production entry,accepted=true and complete typed result,null,100% exact fields,SEM-STATE-002-01,TEST-STATE-002-01,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-02,Minimum/maximum/null/type boundary matrix,Invoke validator,Only Locked-valid boundaries accepted,SCHEMA_INVALID or unit-specific,All matrix rows exact,SEM-STATE-002-02,TEST-STATE-002-02,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-03,Invalid domain invariant,Invoke production entry,result=null; state unchanged,unit-specific invariant code,before_hash==after_hash,SEM-STATE-002-03,TEST-STATE-002-03,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-04,Duplicate same event/pure same input,Run twice,Idempotent original result / byte-identical pure result,null,version adds at most once,SEM-STATE-002-04,TEST-STATE-002-04,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-05,Late event or stale version,Submit stale request,Rejected; no mutation,VERSION_CONFLICT,version/hash unchanged,SEM-STATE-002-05,TEST-STATE-002-01,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-06,Conflicting or unauthorized request,Change payload/actor/capability,Rejected,INVALID_EVENT or UNAUTHORIZED,zero publication,SEM-STATE-002-06,TEST-STATE-002-02,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-07,Injected prepare/compute failure,Fail first internal stage,Rejected with no partial result,INVARIANT_FAILED or DECOMPOSITION_FAILED,all authoritative bytes unchanged,SEM-STATE-002-07,TEST-STATE-002-03,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-08,Injected validate/commit failure,Fail validation/commit,Rejected and exact rollback,INVARIANT_FAILED,outbox count=0,SEM-STATE-002-08,TEST-STATE-002-04,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-09,Production caller integration,Run real upstream->unit->consumer chain,No test-only facade; one committed/returned result,null,call site and artifact hash present,SEM-STATE-002-08,TEST-STATE-002-01,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
STATE-002,AC-STATE-002-10,Hidden-information perturbation,Pair equal-visible inputs,Same policy view/result,null,100% output hashes equal,SEM-STATE-002-08,TEST-STATE-002-02,EVID-STATE-002-01|EVID-STATE-002-02,VERSION_CONFLICT|UNAUTHORIZED_READ|INVALID_EVENT|INVARIANT_FAILED|SCHEMA_INVALID|UNAUTHORIZED|DETERMINISM_VIOLATION,APPROVED
