unit_id,unit_name,old_status,new_status,code_evidence,test_evidence,runtime_evidence,traceability_evidence,coverage,formula_executable,reproducible,hidden_information_violation,defects,severity,recommended_action
RULE-003,定缺未清强制出牌,PARTIAL,AUDITED,engine/legal.py:query_legal_discards→legal_actions,tests/spec_v3/test_rule_003.py;13/13 passed,task15_evidence/pilot_runtime.jsonl;fixed_seed audit runs,AU-013→RULE-003→query_legal_discards→test→runtime,8/8,true,true,false,,None,允许下一阶段
RULE-016,局中与终局公开信息范围,INTEGRATED,AUDITED,protocols/player_view_builder.py:PlayerViewBuilder.build,tests/spec_v3/test_rule_016.py;humanlike_v2 view tests,task15_evidence/pilot_runtime.jsonl;43-decision replay,AU-002/029→RULE-016→builder→tests→runtime,8/8,true,true,false,,None,允许下一阶段
ALGO-001,实体牌编码与所有权守恒,TESTED,AUDITED,engine/physical_tile.py:build_physical_wall→validate_physical_ownership,tests/spec_v3/test_algo_001.py,task15_evidence/pilot_runtime.jsonl;production wall construction,AU-010/053/064/066→ALGO-001→code→test→runtime,8/8,true,true,false,,None,允许下一阶段
ALGO-010,PlayerView白名单构建,INTEGRATED,AUDITED,protocols/player_view_builder.py:PlayerViewBuilder.build,tests/spec_v3/test_algo_010.py;player_view_v2 tests,task15_evidence/pilot_runtime.jsonl;43-decision replay,AU-002/058→ALGO-010→builder→tests→runtime,8/8,true,true,false,,None,允许下一阶段
HEUR-019,Top-K有限注意分配,TESTED,AUDITED,players/humanlike/attention.py:select_attention→rank_attention_cues,tests/spec_v3/test_heur_019.py;cognition tests,task15_evidence/pilot_runtime.jsonl;decision trace attention explanation,AU-042→HEUR-019→attention→tests→runtime,10/10,true,true,false,,None,允许下一阶段
MODEL-001,逐对手方向与牌型假设,PARTIAL,INTEGRATED,players/humanlike/belief.py:build_public_belief→model_001_rule_baseline,tests/spec_v3/test_model_001.py,task15_evidence/pilot_runtime.jsonl;43-decision replay,AU-007/016/050→MODEL-001→belief→test→runtime,9/10,true,true,false,训练模型校准manifest属后续模型阶段,Low,规则fallback允许下一阶段;训练替换前补校准
STATE-005,不可变PlayerView载体,TESTED,AUDITED,protocols/player_view_builder.py→PlayerViewV2.stable_hash,tests/spec_v3/test_state_005.py,task15_evidence/pilot_runtime.jsonl;production view boundary,AU-002/058/070→STATE-005→code→test→runtime,8/8,true,true,false,,None,允许下一阶段
SCORE-001,分数账本分层与守恒,PARTIAL,AUDITED,engine/score.py:ScoreService.apply_transfers→apply_conserved_transfers;ConservedScoreLedger,tests/spec_v3/test_score_001.py;score regression tests,task15_evidence/pilot_runtime.jsonl;score production path,AU-068/087→SCORE-001→score.py→tests→runtime,10/10,true,true,false,,None,允许下一阶段
TRAIN-003,固定动作codec与legal mask,INTEGRATED,AUDITED,training/env.py→training/action_codec_v2.py,tests/spec_v3/test_train_003.py;all635 bijection,task15_evidence/pilot_runtime.jsonl;training regression,AU-079→TRAIN-003→codec→tests→runtime,9/9,true,true,false,,None,允许下一阶段
AUDIT-003,canonical hash链与篡改检测,INTEGRATED,AUDITED,engine/orchestrator.py→DecisionAuditWriter;players/humanlike/audit_replay.py,tests/spec_v3/test_audit_003.py;audit replay tests,task15_evidence/run_a+run_b;43 decisions identical,AU-062/082/083→AUDIT-003→audit.py→tests→runtime,9/9,true,true,false,,None,允许下一阶段
