source_rule_refs,parameter_refs,unit_id,unit_name,unit_type,target_module,detailed_spec,detail_status,primary_inputs,primary_outputs,determinism,trainable,rng,visibility
"AU-001 人类化决策规则：第 0—6 章 / 0. 范围与合法性优先；AU-031 人类化决策规则：第 7—14 章 / 9.1 响应优先；AU-052 程序实现规范：第 0—10 章 / 1.3 冲突裁决","GP-002, GP-008～GP-010、GP-008～GP-010、GP-001～GP-027","RULE-001","规则、参数、不变量与合法性裁决优先级","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","ruleset/config/state","authoritative legal set or explicit rejection","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-010 人类化决策规则：第 0—6 章 / 5. 换三张合法性；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","GP-005, GP-006, RP-001, RP-002、GP-002～GP-020","RULE-002","换三张同花色、方向与提交合法性","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","concealed physical tiles + direction","accepted exchange or error","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-013 人类化决策规则：第 0—6 章 / 6. 清缺约束；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-002, RP-003、GP-002～GP-020、GP-008～GP-010、无直接GP/RP；测试追踪","RULE-003","定缺未清时的强制出牌约束","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","hand + dingque","legal discards","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-013 人类化决策规则：第 0—6 章 / 6. 清缺约束；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-002, RP-003、GP-002～GP-020、GP-008～GP-010、无直接GP/RP；测试追踪","RULE-004","定缺、死叫与胡牌资格约束","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","hand + dingque + waits","hu eligibility","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-006 人类化决策规则：第 0—6 章 / 3. 定庄与座位；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-065 程序实现规范：第 0—10 章 / 4.2 玩家与活动顺序；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-003、GP-002～GP-020、RP-006～RP-018、无直接GP/RP；测试追踪","RULE-005","座位、庄家与活动顺序","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","seats + dealer + active set + actor","next actor","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","RP-023～RP-029、GP-002～GP-020","RULE-006","摸牌、可选响应与出牌标准顺序","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","phase + actor + wall","next phase/action request","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-034 人类化决策规则：第 7—14 章 / 9.4 碰牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-008, GP-023、GP-002～GP-020、GP-008～GP-010","RULE-007","碰牌资格、执行与后续出牌","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","discard + responders + hands","meld/turn","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-014～GP-020、GP-002～GP-020、GP-008～GP-010","RULE-008","明杠、暗杠与补杠资格及执行","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","hand/meld/discard","gang transition","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-014～GP-020、GP-002～GP-020、GP-008～GP-010","RULE-009","补杠抢杠胡窗口与解析","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","bugang intent + responders","hu or gang","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
"AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-010","自摸、点炮与抢杠胡资格","确定规则","engine/rules","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","state + winning tile + source","legal hu set","是","否","否","权威私有状态；对策略仅输出合法集/公开结果"
