delta_id,unit_id,target_semantic,current_behavior,missing_behavior,source_reference,semantic_delta,code_location,input_change,output_change,state_change,algorithm_change,error_codes,atomicity,visibility,interface_impact,dependencies,test_oracle,boundary_cases,acceptance_criteria,blocked_by
SEM-STATE-001-01,STATE-001,Match创建请求schema,PlayerGameRunner构造参数分散且无event_id/state_version/ruleset_hash请求对象,缺少可验证的MatchCreateRequest边界,deterministic_rule_state_specs.md#STATE-001 §7-9,新增冻结MatchCreateRequest校验门面并将现有runner参数适配进入该门面,engine/match.py new facade; engine/orchestrator.py adapter,新增request DTO,返回MatchCreateResult,RECEIVED→VALIDATED,规范化并校验字段,INVALID_MATCH_REQUEST|SCHEMA_INVALID,校验失败不创建player/runner,request权威私有,COMPATIBLE_EXTENSION,ALGO-009|ALGO-011|STATE-010,缺event_id输入返回SCHEMA_INVALID且无对象创建,空ID/uint64边界/未知字段,给定完整请求返回accepted=true及冻结context;缺字段返回准确错误且无装配,none
SEM-STATE-001-02,STATE-001,版本/hash/seed引用冻结,runner仅持EngineConfig和rng_version;未绑定FrozenConfig hash与安全seed_ref,Match生命周期中版本/hash/seed引用可被分散替换,STATE-001 §11 §15; Frozen v2 §1 §4,MatchContext构造时复制并冻结ruleset/config/contract/parameter/canonical/rng版本与config_hash/seed_trace_ref,engine/match.py; engine/orchestrator.py,请求增加FrozenConfigV2与安全seed_ref,context暴露版本/hash和安全引用,VALIDATED→RESOLVED,验证版本组合和hash,VERSION_CONFLICT|SEED_MISSING|CONFIG_MUTATION,失败不发布context,策略仅见hash和安全trace_ref,COMPATIBLE_EXTENSION,ALGO-009|ALGO-011,构造后改原config不改变context且中途替换返回CONFIG_MUTATION,legacy read/v2 new/未知版本,context逐字段冻结且原输入突变不影响hash,none
SEM-STATE-001-03,STATE-001,2/3/4座唯一装配,runner支持2-4但player对象列表直接接收且无稳定profile绑定结果,缺少seat/profile唯一映射和重复拒绝,STATE-001 §11 §15 §19; EngineConfig.num_players,按seat排序校验2/3/4个唯一seat/profile/player_id并一次性构造不可变seat bindings,engine/match.py; players/registry.py,请求使用seat bindings,context返回规范排序bindings,RESOLVED内部暂存,排序后装配,DUPLICATE_SEAT|INVALID_MATCH_REQUEST,全部player成功才提交,对手profile私有且不放入PlayerView,COMPATIBLE_EXTENSION,STATE-010,输入排列变化输出fingerprint相同;重复seat返回DUPLICATE_SEAT,2/3/4座/重复profile ID/缺seat,唯一seat且输出按seat升序;失败装配计数为0,none
SEM-STATE-001-04,STATE-001,整场局数初分庄家冻结,仅starting_scores和单局runner;total_rounds/庄家策略无match context,缺GP-003局数/初分/排名边界与dealer配置冻结,STATE-001 §6 §11; parameter_registry GP-003,冻结total_rounds 1..10000/各座初分/dealer policy并生成round cursor,engine/match.py; engine/session.py,请求增加round plan,context输出rounds_total/current/starting_scores/dealer_policy,RESOLVED,范围校验与规范seat map,INVALID_MATCH_REQUEST|INVARIANT_FAILED,无有效plan不提交,比分公开策略只得允许投影,COMPATIBLE_EXTENSION,STATE-010|SCORE-006,total_rounds=0/10001拒绝;边界1/10000接受,负初分/int64/庄家seat边界,合法plan冻结且跨局只推进cursor,none
SEM-STATE-001-05,STATE-001,重复事件与版本CAS,当前创建流程无event去重或match state_version CAS,相同/迟到创建可能重复装配,STATE-001 §12 §17,引入event ledger和expected_state_version比较;重复同payload幂等返回原结果;冲突显式拒绝,engine/match.py,request含event_id/state_version,result含next_state_version/audit_ref,COMMITTED版本+1,canonical event key,VERSION_CONFLICT|INVALID_MATCH_REQUEST,单写者CAS零部分写,仅审计可见event metadata,COMPATIBLE_EXTENSION,ALGO-009,并发同event仅一次commit;同ID不同payload拒绝,重复/迟到/乱序,成功version+1失败逐字段不变,none
SEM-STATE-001-06,STATE-001,玩家装配失败零写入,runner在on_join阶段逐个调用;后座失败时前座已收到join,存在部分外部装配效果,STATE-001 §11 §14,分离prepare与commit;全部factory/contract检查完成后才发布on_join;失败关闭临时对象,engine/match.py; engine/orchestrator.py,player factories替代已激活实例,result增加accepted/error,VALIDATED临时态不公开,两阶段装配,INVALID_MATCH_REQUEST|UNAUTHORIZED|INVARIANT_FAILED,任一失败无已join座位和context,私有factory错误不进策略日志,COMPATIBLE_EXTENSION,STATE-010,第3座factory失败时0个on_join且version不变,第1/4座失败/异常类型,失败后无runner/context/player外部引用,none
SEM-STATE-001-07,STATE-001,不可变MatchContext与下游投影,无MatchContext;下游直接读runner/config/starting_scores,缺STATE-004/006/008/TRAIN-001稳定只读投影,STATE-001 §4 §13-15,新增深冻结MatchContext和按消费者白名单投影;legacy runner从context适配,engine/match.py; engine/orchestrator.py; training/env.py,下游接收context或兼容adapter,输出match/round/training projections,COMMITTED只读,canonical serialization/fingerprint,CONFIG_MUTATION|UNAUTHORIZED,已发布context不可写,seed/对手profile/私有config不进策略对象图,COMPATIBLE_EXTENSION,STATE-004|STATE-006|STATE-008|TRAIN-001,递归修改抛错且PlayerView递归扫描无私有字段,嵌套容器/四座profile隔离,下游投影字段白名单固定且hash可复算,none
SEM-STATE-001-08,STATE-001,整场完成输出与审计,当前PlayerGameRunner只返回单局GameResult,缺跨局累计/完成状态/规定审计字段,STATE-001 §11 §18,MatchController逐局接受已结算结果并在rounds_total或批准终止条件后输出MatchResult和完整审计记录,engine/match.py; engine/session.py,输入RoundResult,result增加match status/standings/fingerprint,ACTIVE→COMPLETED,按round_id顺序累积,SHEMA_INVALID|INVARIANT_FAILED|TERMINAL_STATE,单局结果校验后原子推进,只公开排名/比分;认知私有,COMPATIBLE_EXTENSION,SCORE-006|STATE-008,最后一局后COMPLETED且再次提交返回TERMINAL_STATE,1局/10000局/并列/迟到结果,每次推进审计字段齐全且最终结果可回放,none
SEM-STATE-011-01,STATE-011,108实体牌闭集,build_full_wall直接返回物理牌列表且基础测试存在,缺少STATE-011结果门面内的闭集验证和DECK_DUPLICATE错误,STATE-011 §11 §15-16,deal transaction构建后验证physical_id 0..107唯一且face映射每种4张,engine/deal.py; engine/deck.py,事务输入规则/hash,结果携带conservation summary,RECEIVED→VALIDATED,闭集计数,DECK_DUPLICATE|CONSERVATION_FAILED,验证前不发布wall,权威私有,COMPATIBLE_EXTENSION,ALGO-001,注入重复physical_id返回DECK_DUPLICATE且无GameState,缺失/越界/映射错误,108唯一且27牌面各4张,none
SEM-STATE-011-02,STATE-011,RNG版本和命名流选择,create_dealt_game支持rng_version 1/2但错误为ValueError且无版本化结果,缺RNG_VERSION_UNKNOWN/RNG_STREAM_MISSING与安全seed_ref输出,STATE-011 §9 §11 §16; Frozen v2 §5,由ALGO-011 selector选择legacy-v1或v2 shuffle流并把安全trace_ref绑定事务,engine/deal.py; engine/rng_v2.py adapter,输入algorithm/rng/record format,结果增加rng metadata/trace_ref,VALIDATED,只调用冻结公式,RNG_VERSION_UNKNOWN|RNG_STREAM_MISSING,未知版本不构建wall,策略不得取得master_seed/stream/index,COMPATIBLE_EXTENSION,ALGO-011,legacy缺版本走旧路径;version=3返回RNG_VERSION_UNKNOWN,legacy/new/unknown stream,不改变ALGO-011公式且错误准确,none
SEM-STATE-011-03,STATE-011,随机域隔离,代码分别派生dice/shuffle且v2有名称,STATE-011未验证shuffle与dice/exchange坐标隔离;缺域冲突硬门禁,STATE-011 §15 §19; RNG decision coordinate,验证shuffle/dice/exchange trace_ref不同且消费者坐标固定;STATE-011只消费shuffle和dealer结果,engine/deal.py,输入named refs,输出domain refs hashes,VALIDATED→RESOLVED,域注册检查,DETERMINISM_VIOLATION|RNG_STREAM_MISSING,冲突时零提交,完整流名只限restricted audit,NO_INTERFACE_CHANGE,ALGO-011,三域100次均不同且调度置换wall一致,同event/不同consumer/worker乱序,共享mutable index扫描为0,none
SEM-STATE-011-04,STATE-011,冻结发牌顺序与数量,deal_hands已有2/3/4数量逻辑但门面无event/state version,缺规范结果和DEAL_COUNT错误/原子发布,STATE-011 §11 §13 §16,以已洗牌序列按冻结seat顺序发庄14闲13并验证余牌数量后一次提交,engine/deck.py; engine/deal.py,输入dealer_seat/seat order,输出hands/wall/result envelope,RESOLVED→COMMITTED,规范seat排序,INVALID_PLAYER_COUNT|DEAL_COUNT,所有hand/wall验证成功才发布,手牌按owner隔离,COMPATIBLE_EXTENSION,STATE-001,4座庄14闲13墙55;2/3座按公式且非法seat拒绝,2/3/4/庄家边界,任一deal count故障无部分hand,none
SEM-STATE-011-05,STATE-011,事务版本/event去重,create_dealt_game是纯构造无state_version/event_id,缺重复/迟到事件处理和版本+1,STATE-011 §7 §12 §17,新增DealRequest expected_version/event_id和单写提交ledger,engine/deal.py facade,请求增加event/version,结果增加next_version/audit_ref,RECEIVED→COMMITTED/REJECTED,CAS+canonical event hash,VERSION_CONFLICT|SCHEMA_INVALID,失败权威snapshot不变,event元数据审计可见,COMPATIBLE_EXTENSION,STATE-001,重复同event幂等;同ID不同输入拒绝,version max/迟到/并发,仅一次成功提交且版本+1,none
SEM-STATE-011-06,STATE-011,失败零部分提交,当前构造局部对象后异常通常不返回但无显式事务/故障阶段证明,缺洗牌/发牌/守恒故障注入的零发布合同,STATE-011 §14-16,所有阶段在私有working copy运行;最后守恒通过后原子返回FrozenDealResult,engine/deal.py,内部故障注入仅测试adapter,accepted/error envelope,REJECTED,prepare/validate/commit,DECK_DUPLICATE|DEAL_COUNT|CONSERVATION_FAILED|INVARIANT_FAILED,失败无GameState/hand/wall外泄,错误详情不含墙序,COMPATIBLE_EXTENSION,ALGO-001,每个阶段故障前后authority hash相同,shuffle后/第N张deal/守恒失败,失败结果accepted=false且无result payload,none
SEM-STATE-011-07,STATE-011,PlayerView隔离,PlayerView已隐藏墙序并仅展示自手,STATE-011结果可被runner直接持有且无专属投影检查;缺STATE-011到RULE-016边界证明,STATE-011 §9 §15 §19; RULE-016,DealResult仅进入权威GameState;策略投影通过现有PlayerViewBuilder且递归禁wall order/他手,engine/deal.py; protocols/player_view_builder.py,无策略输入新增,审计只输出hash/trace_ref,COMMITTED,投影白名单,PRIVATE_TILE_EXPOSED|UNAUTHORIZED,隔离失败拒绝策略投影,墙序/他手权威私有,NO_INTERFACE_CHANGE,RULE-016,扰动墙序和他手不改变同可见PlayerView字段;四座仅见自己手,暗杠/终局可见策略遵循GP-021,递归sentinel扫描0泄漏,none
SEM-STATE-011-08,STATE-011,legacy golden与并发确定性,已有legacy/v2单测但STATE-011未形成版本化golden envelope,缺旧回放零变化/不同game域差异/worker无序的单元证据,STATE-011 §3 §15 §19; Frozen v2 §5,冻结legacy wall/dice/hands golden和v2 golden;无状态坐标使100种调度结果相同,engine/deal.py; tests/spec_v3/test_state_011.py,输入增加显式version用于新记录,输出fingerprint,无新状态,复用ALGO-011,DETERMINISM_VIOLATION,检测差异不提交,只持安全hash,NO_INTERFACE_CHANGE,ALGO-011,legacy既有golden逐tile零变化;不同game fingerprint不同,跨进程/线程/重试/取消,同输入100次逐字段一致,none
SEM-STATE-004-01,STATE-004,Locked phase枚举,当前GameState使用dealt/exchange/dingque/ready/draw/discard/response/finished且无configured/settled权威枚举,缺Locked CONFIGURED→DEALT→EXCHANGE(opt)→DINGQUE→READY→DRAW/DISCARD/RESPONSE→FINISHED→SETTLED统一状态门面,STATE-004 §11 §15,新增RoundPhase枚举和legacy phase双向适配;禁止候选WALL_READY/PLAYING/SETTLEMENT冒充Locked值,engine/round_state_machine.py; engine/state.py adapter,事件输入RoundPhase,结果输出phase_before/after,CONFIGURED起始,枚举转换表,ILLEGAL_TRANSITION|SCHEMA_INVALID,未知phase零写入,策略只见允许phase投影,COMPATIBLE_EXTENSION,STATE-001,枚举集合准确且legacy适配逐值唯一,大小写/未知/候选非Locked名,每个Locked phase可序列化且无第二含义,none
SEM-STATE-004-02,STATE-004,合法转换表,当前转换分散在opening/blood_battle/orchestrator直接赋值,无独立guarded transition结果和错误码,STATE-004 §11 §19,集中定义全部合法边和exchange关闭跳过边;现有调用逐步经adapter提交,engine/round_state_machine.py; engine/opening.py; engine/blood_battle.py,输入current phase+event,输出next phase envelope,按事件推进,表驱动guard,ILLEGAL_TRANSITION|EVENT_PHASE_MISMATCH|GUARD_FAILED,guard失败零写入,事件私有/phase公开按RULE-016,COMPATIBLE_EXTENSION,STATE-001,逐合法边返回准确next phase;所有非边返回ILLEGAL_TRANSITION,exchange on/off/循环边,合法边集合与Locked §11完全相等,none
SEM-STATE-004-03,STATE-004,event/version/幂等,现有turn_index非统一state_version且ActionRequest uuid不作状态事件CAS,缺重复/迟到/冲突的规范处理,STATE-004 §7 §12 §17,每个TransitionRequest带event_id/expected version;canonical ledger支持同payload幂等和冲突拒绝,engine/round_state_machine.py,新增event/version,结果next_version/audit_ref,COMMITTED +1,CAS/event hash,VERSION_CONFLICT|EVENT_PHASE_MISMATCH,失败snapshot逐字段不变,event审计可见,COMPATIBLE_EXTENSION,STATE-001,并发100请求只有合法规范序列提交;重复不加版本,迟到/同ID异payload/uint64边界,版本严格单调无空洞,none
SEM-STATE-004-04,STATE-004,血战胡后活动轮次,已有first hu继续和active seat逻辑但状态直接变更,缺胡后退出/多胡/剩余1家/终止的统一transition审计,STATE-004 §11 §15; RULE-014来源,以HU_RESOLVED事件更新active set并决定DRAW或FINISHED;多胡按规范seat/event顺序,engine/round_state_machine.py; engine/blood_battle.py,输入hu seats/wall/active set,输出next phase/active set,RESPONSE或DISCARD→DRAW/FINISHED,规范排序与终止guard,GUARD_FAILED|INVARIANT_FAILED,活动集和phase同一原子提交,只公开已胡状态不泄手牌,COMPATIBLE_EXTENSION,RULE-014,第1/2/3胡及一炮多响得到预期active set和phase,重复胡/已胡seat/最后一人,胡后玩家不再收到decision,none
