batch_id,parallel_wave_id,allowed_business_paths,allowed_test_paths,allowed_evidence_paths,allowed_design_paths,read_only_shared_paths,forbidden_paths,public_interface_owner,global_document_owner,expected_new_files,expected_modified_files
T19-B2A1,W01,engine/round_state_store.py|engine/player_round_state.py|engine/hand_analysis_v1.py|engine/state.py|engine/shanten.py,tests/spec_v3/t19-b2a1_*.py,docs/spec-v3/task19/evidence/T19-B2A1/**,docs/spec-v3/task19/design/T19-B2A1/**,engine/invariants.py|engine/legal.py|engine/shanten.py|engine/state.py|engine/win_check.py|players/humanlike/candidates.py|players/humanlike/cognition.py|players/humanlike/hand_analyzer.py|players/humanlike/plan.py|players/humanlike/runtime.py|protocols/player_view_v2.py|training/oracle.py|tests/humanlike_v2/test_cognition.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_invariants.py|tests/humanlike_v2/test_player_view_v2.py|tests/humanlike_v2/test_runtime.py|tests/humanlike_v2/test_state_v5_migration.py|tests/test_analysis.py|tests/test_exchange_dingque.py|tests/test_reward.py|tests/test_shanten.py|tests/test_state_serde.py|tests/test_win_fan.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,Terminal 1 / T19-B2A1,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D01,W02,engine/task19/t19-d01_*.py,tests/spec_v3/t19-d01_*.py,docs/spec-v3/task19/evidence/T19-D01/**,docs/spec-v3/task19/design/T19-D01/**,engine/blood_battle.py|engine/deal.py|engine/dice.py|engine/game_id.py|engine/legal.py|engine/orchestrator.py|engine/session.py|players/humanlike/candidates.py|players/humanlike/config.py|players/humanlike/traceability.py|protocols/player_view_builder.py|tests/humanlike_v2/test_audit_replay.py|tests/humanlike_v2/test_cognition.py|tests/humanlike_v2/test_config.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/humanlike_v2/test_player_view_v2.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_legal_actions.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D02,W02,engine/task19/t19-d02_*.py,tests/spec_v3/t19-d02_*.py,docs/spec-v3/task19/evidence/T19-D02/**,docs/spec-v3/task19/design/T19-D02/**,engine/blood_battle.py|engine/exchange.py|engine/fan.py|engine/legal.py|engine/opening.py|engine/orchestrator.py|players/humanlike/cognition.py|players/humanlike/config.py|players/humanlike/player.py|players/humanlike/traceability.py|tests/humanlike_v2/test_cognition.py|tests/humanlike_v2/test_config.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_exchange_dingque.py|tests/test_legal_actions.py|tests/test_session_scores.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D03,W03,engine/task19/t19-d03_*.py,tests/spec_v3/t19-d03_*.py,docs/spec-v3/task19/evidence/T19-D03/**,docs/spec-v3/task19/design/T19-D03/**,engine/legal.py|engine/orchestrator.py|players/humanlike/candidates.py|players/humanlike/player.py|players/humanlike/policy.py|players/humanlike/view.py|protocols/player_view_builder.py|protocols/player_view_v2.py|tests/humanlike_v2/test_cognition.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/humanlike_v2/test_player_view_v2.py|tests/test_analysis.py|tests/test_session_scores.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D04,W03,engine/task19/t19-d04_*.py,tests/spec_v3/t19-d04_*.py,docs/spec-v3/task19/evidence/T19-D04/**,docs/spec-v3/task19/design/T19-D04/**,engine/blood_battle.py|engine/legal.py|engine/opening.py|engine/win_check.py|players/humanlike/candidates.py|protocols/player_view_builder.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_player_view_v2.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_exchange_dingque.py|tests/test_legal_actions.py|tests/test_win_fan.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D05,W04,engine/task19/t19-d05_*.py,tests/spec_v3/t19-d05_*.py,docs/spec-v3/task19/evidence/T19-D05/**,docs/spec-v3/task19/design/T19-D05/**,engine/blood_battle.py|engine/legal.py|engine/opening.py|players/humanlike/belief.py|players/humanlike/candidates.py|players/humanlike/config.py|tests/humanlike_v2/test_config.py|tests/humanlike_v2/test_deterministic_policy.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_exchange_dingque.py|tests/test_legal_actions.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D06,W05,engine/task19/t19-d06_*.py,tests/spec_v3/t19-d06_*.py,docs/spec-v3/task19/evidence/T19-D06/**,docs/spec-v3/task19/design/T19-D06/**,engine/audit.py|engine/blood_battle.py|engine/deal.py|engine/dice.py|engine/fan.py|engine/game_id.py|engine/legal.py|engine/opening.py|engine/replay.py|engine/score.py|players/humanlike/belief.py|players/humanlike/candidates.py|players/humanlike/view.py|protocols/player_view_builder.py|protocols/player_view_v2.py|tests/humanlike_v2/test_audit_replay.py|tests/humanlike_v2/test_cognition.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_player_view_v2.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_exchange_dingque.py|tests/test_legal_actions.py|tests/test_persistence.py|tests/test_score.py|tests/test_score_ledger.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D07,W06,engine/task19/t19-d07_*.py,tests/spec_v3/t19-d07_*.py,docs/spec-v3/task19/evidence/T19-D07/**,docs/spec-v3/task19/design/T19-D07/**,engine/blood_battle.py|engine/legal.py|engine/orchestrator.py|engine/session.py|players/humanlike/belief.py|players/humanlike/candidates.py|training/env.py|tests/humanlike_v2/test_deterministic_policy.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/humanlike_v2/test_training_contract_v2.py|tests/test_analysis.py|tests/test_blood_battle.py|tests/test_env.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D08,W07,engine/task19/t19-d08_*.py,tests/spec_v3/t19-d08_*.py,docs/spec-v3/task19/evidence/T19-D08/**,docs/spec-v3/task19/design/T19-D08/**,engine/blood_battle.py|engine/orchestrator.py|engine/session.py|training/env.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/humanlike_v2/test_training_contract_v2.py|tests/test_blood_battle.py|tests/test_env.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
T19-D09,W08,engine/task19/t19-d09_*.py,tests/spec_v3/t19-d09_*.py,docs/spec-v3/task19/evidence/T19-D09/**,docs/spec-v3/task19/design/T19-D09/**,engine/blood_battle.py|engine/fan.py|engine/orchestrator.py|engine/score.py|engine/session.py|tests/humanlike_v2/test_humanlike_player_integration.py|tests/test_blood_battle.py|tests/test_score.py|tests/test_score_ledger.py|tests/test_session_scores.py,docs/spec-v3/03-unit-specs/**|docs/spec-v3/contracts/**|docs/spec-v3/task19/task19_progress_tracker.md|docs/changelog.md|Task17 historical files,UNASSIGNED_UNTIL_DESIGN_APPROVAL,Terminal 0,batch DTO/facade/direct tests/E4/E5/progress delta after authorization,NONE until approved design assigns exact paths
