delta_id,unit_id,delta_kind,effective_status,source_file,requirement,superseded_by,development_readable
LEGACY-SEM-PARAMETER-RULE-001,RULE-001,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-002,RULE-002,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-004,RULE-004,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-005,RULE-005,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-006,RULE-006,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-007,RULE-007,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-008,RULE-008,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-009,RULE-009,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-010,RULE-010,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-011,RULE-011,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-012,RULE-012,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-013,RULE-013,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-014,RULE-014,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-RULE-015,RULE-015,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-002,ALGO-002,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-003,ALGO-003,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-004,ALGO-004,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-005,ALGO-005,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-006,ALGO-006,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-007,ALGO-007,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-008,ALGO-008,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-009,ALGO-009,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-ALGO-011,ALGO-011,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-HEUR-001,HEUR-001,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-HEUR-002,HEUR-002,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-HEUR-003,HEUR-003,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
LEGACY-SEM-PARAMETER-HEUR-004,HEUR-004,semantic_delta,SUPERSEDED,Task18B original generated semantic_delta_catalog,泛化参数接入（无具体参数行为差异）,R1 concrete deltas when unit is B1-A; otherwise future unit-specific review,false
