unit_id,delta_id,semantic_target,locked_source,current_gap,interface_class,decision_ids,acceptance_ids,result
STATE-002,SEM-STATE-002-01,Single authoritative owner and capability-checked read/write API,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-01,APPROVED
STATE-002,SEM-STATE-002-02,"Versioned RoundState DTO, schema/migration metadata and canonical validation",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-02,APPROVED
STATE-002,SEM-STATE-002-03,Deep immutable committed snapshots and no mutable authority references,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-03,APPROVED
STATE-002,SEM-STATE-002-04,state_version CAS with success +1 and reject unchanged,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-04,APPROVED
STATE-002,SEM-STATE-002-05,"event_id ledger: exact duplicate idempotency, payload conflict and late-event rejection",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-05,APPROVED
STATE-002,SEM-STATE-002-06,prepare-validate-commit-audit-outbox transaction with byte-exact rollback,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-06,APPROVED
STATE-002,SEM-STATE-002-07,"phase/terminal authorization, legacy v5 compatible adapter and commit-only consumers",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-07,APPROVED
STATE-002,SEM-STATE-002-08,"PlayerView-only policy projection, restricted audit hashes and deterministic fingerprint",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-002|B2A1-DEC-003|B2A1-DEC-004,AC-STATE-002-08,APPROVED
STATE-003,SEM-STATE-003-01,Versioned PlayerRoundState DTO and actor/phase/event validation,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-01,APPROVED
STATE-003,SEM-STATE-003-02,draw/discard/dingque mutation contracts with exact physical ownership transfer,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-02,APPROVED
STATE-003,SEM-STATE-003-03,pong/ming-gang/an-gang/jia-gang atomic hand/meld/discard mutation,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-03,APPROVED
STATE-003,SEM-STATE-003-04,"qiang-gang provisional upgrade, cancellation or commit contract",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-04,APPROVED
STATE-003,SEM-STATE-003-05,pass-hu state creation and approved reset trigger contract,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-05,APPROVED
STATE-003,SEM-STATE-003-06,"first/multi-hu order, active-set exit and terminal player state",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-06,APPROVED
STATE-003,SEM-STATE-003-07,"108-tile conservation, uniqueness, canonical ordering and exact rollback through STATE-002",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-07,APPROVED
STATE-003,SEM-STATE-003-08,"owner/opponent PlayerView projections, audit hashes and deterministic event ordering",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-001|B2A1-DEC-003|B2A1-DEC-005|B2A1-DEC-006|B2A1-DEC-007|B2A1-DEC-012,AC-STATE-003-08,APPROVED
ALGO-002,SEM-ALGO-002-01,Versioned pure request/result DTO and canonical 27-count normalization,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-01,APPROVED
ALGO-002,SEM-ALGO-002-02,Canonical standard decomposition and standard shanten formula,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,ADDITIVE_INTERFACE,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-02,APPROVED
ALGO-002,SEM-ALGO-002-03,Seven-pairs decomposition/shanten with open-meld N/A rule,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-03,APPROVED
ALGO-002,SEM-ALGO-002-04,"Global minimum shanten, win=-1 and approved tie semantics",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-04,APPROVED
ALGO-002,SEM-ALGO-002-05,Fourteen-tile discard-to-shanten map for every distinct discard face,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-05,APPROVED
ALGO-002,SEM-ALGO-002-06,"All 27 improving faces, ukeire face set/count and zero-error invariants",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-06,APPROVED
ALGO-002,SEM-ALGO-002-07,Wait-shape classification and duplicate-decomposition elimination,unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-07,APPROVED
ALGO-002,SEM-ALGO-002-08,"Canonical ordering, full error taxonomy, P95<=5ms and no authority/RNG/oracle access",unit card §§3-20,Candidate implementation is not an isolated approved v3 contract,COMPATIBLE_ADAPTER,B2A1-DEC-008|B2A1-DEC-009|B2A1-DEC-010|B2A1-DEC-011,AC-ALGO-002-08,APPROVED
