unit_id,unit_name,category,current_status,completion_path,planned_batch,batch_order,dependencies,satisfied_dependencies,unmet_dependencies,queue_gate,model001_external_gate_blocks_unit,spec_reference
ALGO-002,手牌分解、向听、弃牌向听与等待形状,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-A1,4,STATE-003,,STATE-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-003,去重可见牌与未见牌聚合,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-001|STATE-005,ALGO-001|STATE-005,,DESIGN_REVIEW_READY,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-004,墙内活牌区间或估计,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-003|STATE-011,STATE-011,ALGO-003,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-005,逐座剩余摸牌机会估计,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,RULE-005|STATE-011,STATE-011,RULE-005,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-006,mandatory 分类、候选上限与稳定排序,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-A2,6,RULE-001|STATE-009,,RULE-001|STATE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-007,六分量候选 Q 评价,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-002|ALGO-003|ALGO-005|STATE-010,STATE-010,ALGO-002|ALGO-003|ALGO-005,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
ALGO-008,seed、噪声、思考时间与随机流确定派生,ALGO,PARTIAL,PATH-SEMANTIC-COMPLETION,B2-B,10,ALGO-011|STATE-009,ALGO-011,STATE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/deterministic_algorithm_scoring_specs.md
AUDIT-001,全原子规则事件日志,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,STATE-002|STATE-004,STATE-004,STATE-002,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-002,AI 决策解释日志,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,ALGO-007|STATE-006|STATE-009,,ALGO-007|STATE-006|STATE-009,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
AUDIT-004,同配置/seed/事件的确定性回放,AUDIT,PARTIAL,PATH-SEMANTIC-COMPLETION,B6-A,19,ALGO-008|AUDIT-003|STATE-007,AUDIT-003,ALGO-008|STATE-007,DEPENDENCY_BLOCKED,false,03-unit-specs/audit_specs.md
