batch_id,order,phase,unit_count,unit_ids,dependency_batches,gate_type,parallel_group,entry_criteria,exit_criteria,regression_scope,boundary_test_scope
B1-A,1,deterministic-root,3,STATE-010|ALGO-009|ALGO-011,,immediate,P1,STATE-010无未满足单元依赖；先完成STATE-010，再并行ALGO-009/ALGO-011；MODEL001数据缺口不阻断,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-A内3个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有ALGO/STATE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖STATE-010|ALGO-009|ALGO-011；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B4-DATA-MODEL001,2,model001-calibration-data,1,MODEL-001,,external,P3,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；所需冻结数据/模型/评价发布已到位并通过schema、来源、许可和泄漏预检,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B4-DATA-MODEL001内1个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有MODEL定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖MODEL-001；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B1-B,3,state-bootstrap,3,STATE-001|STATE-011|STATE-004,B1-A,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-A,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-B内3个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有STATE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖STATE-001|STATE-011|STATE-004；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B2-A1,4,deterministic-prerequisites,3,STATE-002|STATE-003|ALGO-002,B1-B,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-B,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B2-A1内3个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有ALGO/STATE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖STATE-002|STATE-003；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B1-C1,5,p0-rule-foundation,5,RULE-001|RULE-002|RULE-005|RULE-006|RULE-015,B2-A1,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B2-A1,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-C1内5个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有RULE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖RULE-001|RULE-002|RULE-005|RULE-006|RULE-015；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B2-A2,6,decision-prerequisites,2,ALGO-006|STATE-009,B1-C1,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-C1,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B2-A2内2个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有ALGO/STATE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖STATE-009；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B1-C2,7,p0-rule-claims,6,RULE-004|RULE-007|RULE-008|RULE-010|RULE-011|RULE-012,B1-C1,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-C1,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-C2内6个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有RULE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖RULE-004|RULE-007|RULE-008|RULE-010|RULE-011|RULE-012；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B1-C3,8,p0-response-score,5,RULE-009|RULE-013|RULE-014|SCORE-002|SCORE-003,B1-C2,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-C2,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-C3内5个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有RULE/SCORE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖RULE-009|RULE-013|RULE-014|SCORE-002|SCORE-003；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B1-C4,9,p0-terminal-score,3,SCORE-004|SCORE-005|SCORE-006,B1-C3,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-C3,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B1-C4内3个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有SCORE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖SCORE-004|SCORE-005|SCORE-006；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
B2-B,10,deterministic-completion,9,ALGO-003|ALGO-004|ALGO-005|ALGO-007|ALGO-008|STATE-006|STATE-007|STATE-008|STATE-012,B1-C4|B2-A2,dependency,P1,Task17基线与Frozen公共契约未变；批次规格Locked；工作树已保护；前置批次独立审计通过；前置=B1-C4|B2-A2,每个单元独立具备代码、直接测试、可归属运行、追踪四类证据；关键分支与信息边界门禁通过；固定seed/版本/状态复现；性能达Locked阈值；全量回归通过；开发人与独立审计结论分离；批次B2-B内9个单元不得以批量PASS替代逐单元AC验收,新增tests/spec_v3直接/分支/异常/性质测试；相关现有ALGO/STATE定向测试；contracts与固定seed回放；全仓pytest；失败时只在实施任务修复,覆盖ALGO-008|STATE-006|STATE-007|STATE-008|STATE-012；PlayerView白名单、对手暗手/墙序递归sentinel、对象引用/缓存/日志隔离、隐藏字段删除或扰动不改变同可见状态决策；权威引擎全知权限与策略边界分离
