path,git_status,classification,source_task,related_units,approval_or_audit_reference,evidence_manifest_reference,sha256,byte_size,include_in_checkpoint,reason,risk,owner_decision_required,resolved_classification,resolved_related_units,resolved_include,resolution_reason,remaining_decision
engine/__init__.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,2c068dc8e5cff657381210f1c0b127e2abf752cdc820896b88ec41850152d749,3486,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,MULTI_AUDITED_EXPORTS,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
engine/legal.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,c9f17533f856a1b3c3e98f72f435137eb801b2ddbc3f0395b4438800d0f598c5,5671,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,RULE-003,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
engine/physical_tile.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,3d42acd7b2619478e5c7d6a3069b9224235b454149cb083e2557e956b3ca38f8,5834,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,ALGO-001,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
engine/replay.py, M,REQUIRES_AUDIT_RECHECK,B1-A,STATE-010|ALGO-009|ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,a98e2e0be1189080d4ee1a1575a50a2ad761676e8a8d2775fe29a31380a38cf5,4103,false,B1-A trace references file but no full per-file audit hash is available,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,ALGO-011,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",false
engine/score.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,566f605ad7c1b2bcf2fb03c9c303a00270bacab9395a872561121f7f80845c17,16500,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,SCORE-001,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
players/humanlike/__init__.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,227d58a5cdc87e661ca8a3c91af6bc127fc692528dad97c0dc700ed4592e15f2,1243,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,B1-A_EXPORTS,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
players/humanlike/attention.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,3b4632a45058a859020da99bedf9eb8b4b2fd1232b349e948646bb66a3492677,5124,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,HEUR-019,true,Production symbol is directly used by an AUDITED unit or its public export closure,false
players/humanlike/belief.py, M,REQUIRES_OWNER_DECISION,MULTI_TASK_CODE,,,,856646c31a9678007b100f3e013f0942f5f3aec71dc4702c18c629455948c8f7,6278,false,Business/test code has no unique full-hash audit attribution in available manifests,HIGH,true,DEFER_TO_LATER_BATCH,HEURISTIC_LATER_BATCH,false,Modified heuristic implementation is not uniquely attributed to an audited checkpoint unit,false
players/humanlike/player.py, M,REQUIRES_AUDIT_RECHECK,B1-A,STATE-010|ALGO-009|ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,8626b7cf9a1b253844a2f232aebbda3b83b3f1785bd109495aa32b75121cff50,9568,false,B1-A trace references file but no full per-file audit hash is available,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,STATE-010,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",false
players/humanlike/settings_service.py, M,REQUIRES_AUDIT_RECHECK,B1-A,STATE-010|ALGO-009|ALGO-011,docs/spec-v3/reports/B1-A_E5_trace_matrix.csv,,b07eb9dc7f34393bf5cddc576a2318575a028d2c0c7d58a8c58b1d715e55c265,4308,false,B1-A trace references file but no full per-file audit hash is available,HIGH,true,INCLUDE_REQUIRED_PRODUCTION_BASELINE,ALGO-009,true,"Scoped B1-A re-audit passed: approved E5 symbol/test attribution, two deterministic direct-test runs, current full SHA-256 captured in supplemental manifest",false
