parameter_id,parameter_name,data_type,minimum,maximum,options,default_value,null_semantics,scope,locked_range_and_formula,lifecycle,source_chapter,using_units,decision_required
GP-011,番型目录,番型数组,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,番型数组；番型数量1—128；每个番型ID长度1—64字符且唯一；启用状态为布尔值；成立条件必须能由公开规则和手牌状态确定。,整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,false
GP-012,番型关系,关系矩阵,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,关系矩阵；任意番型对关系取`compatible`、`exclusive`、`contains`或`independent`；矩阵规模与[GP-011](#gp-011)一致；关系不得循环矛盾。,整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,false
GP-013,番数和封顶配置,整数结构体,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,"整数结构体；单番值0—64；基础分1—1,000,000；封顶番0—64，0表示不按番封顶；单次结算绝对值不得超过1,000,000,000；封顶外杠分开关为布尔值。",整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,false
GP-014,自摸结算配置,枚举和整数,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,"枚举和整数；自摸模式为`add_base`、`add_fan`、`fixed_bonus`或`none`；附加番0—16；固定奖励0—1,000,000；支付范围为`all_active_opponents`或平台指定集合。",整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-015,杠分配置,整数和枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,"整数和枚举；明杠、暗杠、补杠单位分各为0—1,000,000；支付方式为`discarder_only`、`all_active_opponents`或`custom`；结算时点为`immediate`或`round_end`。",整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-016,呼叫转移配置,布尔和枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,布尔和枚举；`enabled`为布尔值；转移范围为`latest_gang_only`、`all_related_gang_score`或`custom`；一炮多响方式为`copy_to_each_winner`、`split`或`custom`。,整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-017,查花猪配置,布尔和整数,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,"布尔和整数；`enabled`为布尔值；花猪赔付番0—64或固定分0—1,000,000；支付对象为`all_non_hu_non_huazhu`、`all_eligible`或`custom`。",整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-018,查大叫配置,布尔和枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,布尔和枚举；`enabled`为布尔值；死叫处理为`valid`或`invalid`；估值方式为`actual_live_wait`、`maximum_possible_fan`或`custom`；赔付上限服从[GP-013](#gp-013)。,整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-019,退税配置,布尔和枚举,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,布尔和枚举；`enabled`为布尔值；退回范围为`all_gang_income`、`untransferred_gang_income`、`selected_events`或`custom`；退回额不能超过对应已入账额。,整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
GP-020,庄家配置,枚举和整数,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,SEE_LOCKED_RANGE,NO_UNIQUE_DEFAULT,NOT_NULL_UNLESS_EXPLICIT_IN_LOCKED_RANGE,global,"枚举和整数；定庄方式为`dice`、`rotate`、`winner`或`custom`；庄家加番0—16；庄家固定加分0—1,000,000；连庄次数0—10000，0表示不连庄。",整场创建时加载、校验并冻结；仅新match/规则版本可变,§17.2+§18.3,STATE-003,true
