unit_id,unit_name,source_parameter_requirement,specific_parameter_id_found,concrete_current_behavior_difference,r1_decision,reason
RULE-001,规则、参数、不变量与合法性裁决优先级,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-001 行及其 AU/章节锚点为准；参数：GP-002、GP-008～GP-010、GP-001～GP-027。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-002,换三张同花色、方向与提交合法性,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-002 行及其 AU/章节锚点为准；参数：GP-005、GP-006、RP-001、RP-002。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-004,定缺、死叫与胡牌资格约束,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-004 行及其 AU/章节锚点为准；参数：GP-002、RP-003。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-005,座位、庄家与活动顺序,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-005 行及其 AU/章节锚点为准；参数：校验座位为0..N-1且庄家唯一→验证 actor 活动→从actor后一个座按环序扫描→跳过已胡/退出座→返回首个活动座或终止标志。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-006,摸牌、可选响应与出牌标准顺序,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-006 行及其 AU/章节锚点为准；参数：ready由庄家进入discard→无副露后续轮到者先draw→摸后进入本座discard并提供自摸/杠/弃牌→弃牌后有响应者进入response→无人/全过则下家draw→碰后响应者discard→杠后补摸再discard。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-007,碰牌资格、执行与后续出牌,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-007 行及其 AU/章节锚点为准；参数：确认响应窗口与未被消费弃牌→响应者活动且非出牌者→手中同牌面至少2个实体→经RULE-013获胜→从手牌移除2张并与弃牌组成pong→标记弃牌被领取→当前座改为碰者并进入discard。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-008,明杠、暗杠与补杠资格及执行,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-008 行及其 AU/章节锚点为准；参数：杠组恰4个同牌面唯一实体；补牌只在杠最终成立后；抢杠成功不得成立补杠；全局牌张守恒。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-009,补杠抢杠胡窗口与解析,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-009 行及其 AU/章节锚点为准；参数：窗口未决时不得修改碰副露或补摸；只允许HU/PASS；多个合法胡不得被返回时序吞掉。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-010,自摸、点炮与抢杠胡资格,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-010 行及其 AU/章节锚点为准；参数：同一胜牌/来源不得重复计入；非活动座不得胡；资格判定不包含响应优先或计分。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
RULE-011,过胡设置、持续与恢复,### 6. 来源规则与参数 来源以锁定目录 [locked_unit_catalog.md](../02-unit-catalog/locked_unit_catalog.md) 的 RULE-011 行及其 AU/章节锚点为准；参数：未获得合法胡机会的PASS不设置过胡；状态仅属于该玩家；恢复不得因他人事件误触发。歧义必须新增决策记录，不静默推断。 ### 10. 内部状态 不持有跨事件可变策略状态；只读取冻结规则快照、输入状态版本和本次临时判定上下文。,,,DELETE_SEM_PARAMETER,原行仅引用参数范围并泛称接入，未证明任一具体参数未生效、错误生效或未绑定生产入口；不构成SEM业务差异
