decision_id,question,option_a,option_b,option_c,compatibility_impact,test_impact,recommended_option,selected_option,approval_status,approved_by,approval_basis,blocked_units
B2A1-DEC-001,STATE-002 canonical authority DTO/schema/migration version,A: new additive immutable DTO v1 + v5 adapter,B: freeze legacy GameState directly,C: replace GameState schema,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-002|STATE-003
B2A1-DEC-002,Capability representation and owner placement,A: store-owned opaque read/write capability tokens,B: caller-name allowlist,C: unrestricted internal access,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-002
B2A1-DEC-003,Duplicate versus late/conflicting event error mapping,A: same payload returns original; changed payload INVALID_EVENT; stale version VERSION_CONFLICT,B: every duplicate rejects,C: every duplicate succeeds,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-002|STATE-003
B2A1-DEC-004,Audit/outbox failure boundary after authority commit,A: audit atomic with commit; outbox retry after commit,B: both atomic,C: both best effort,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-002
B2A1-DEC-005,Qiang-gang representation,A: provisional jia-gang transaction committed only after response resolution,B: commit then compensating rollback,C: mutate legacy object in place,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-003
B2A1-DEC-006,Pass-hu reset trigger and value threshold payload,A: bind exactly to approved GP-009 mode and explicit candidate value,B: always reset on own draw,C: reset each turn,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-003
B2A1-DEC-007,Multi-hu hu_order semantics,A: deterministic seat/event sequence with unique ordinal,B: equal ordinal for same event,C: response arrival order,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-003
B2A1-DEC-008,ALGO-002 facade/formula version identifiers,A: additive analyze_hand_v1 facade preserving shanten wrapper,B: change shanten return type,C: replace win_check,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,ALGO-002
B2A1-DEC-009,Canonical decomposition and tie ordering,A: lexicographic normalized group tuples; standard before seven-pairs only in display list,B: DFS discovery order,C: shortest serialized form,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,ALGO-002
B2A1-DEC-010,Dingque handling in shanten and improving faces,A: reject winning/tenpai interpretation while missing-suit count >0 and compute discard burden explicitly,B: remove missing suit before formula,C: ignore dingque,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,ALGO-002
B2A1-DEC-011,Ukeire quantity meaning without visibility input,A: return improving face set only; count is number of faces 0..27,B: assume four copies per face,C: accept visible counts,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,ALGO-002
B2A1-DEC-012,STATE-003 PlayerView reveal for an-gang/terminal,A: defer entirely to GP-021/RULE-016 projector,B: expose physical IDs,C: expose all at terminal,A is additive/compatible; B/C may bind legacy behavior or break shared contracts,"Selected option must have exact golden, boundary, failure and compatibility tests",A,A,APPROVED,project owner (user),User instruction: execute tasks 1 and 2,STATE-003
