unit_id,ac_id,rules_version,legacy_parameter_version,target_parameter_version,legacy_contract_version,target_contract_version,legacy_canonical_version,target_canonical_version,decision_version,golden_contract,binding_status
STATE-010,AC-STATE-010-01,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-02,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-03,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-04,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-05,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-06,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-07,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-08,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-09,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
STATE-010,AC-STATE-010-10,CDMJ-AI-RULES 1.0.0,CDMJ-AI-PARAMS 1.1.0,CDMJ-AI-PARAMS 2.0.0,CDMJ-CONTRACTS 1.0.0,CDMJ-CONTRACTS 2.0.0,legacy-json-v1,CDMJ canonical-jcs-nfc-v2 profile (OPTION-J2 pending),B1-A-DECISIONS 1.0.0,B1-A_executable_golden_vectors.json,APPROVED_VERSION_BINDING
