parameter_id,leaf_path,scope,default_value,data_type,range_enum_or_formula,effect_step_category,permission,implementation_status,consumer_unit_ids,authoritative_source,notes
GP-001,global_parameters.GP-001.rule_version,match_global,"""CDMJ-AI-RULES 1.0.0""",string,"字符串与布尔值；`rule_version=""CDMJ-AI-RULES 1.0.0""`；`parameter_version=""CDMJ-AI-PARAMS 1.0.0""`；`locked=true`。不允许空值。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-007|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-001,global_parameters.GP-001.parameter_version,match_global,"""CDMJ-AI-PARAMS 1.1.0""",string,"字符串与布尔值；`rule_version=""CDMJ-AI-RULES 1.0.0""`；`parameter_version=""CDMJ-AI-PARAMS 1.0.0""`；`locked=true`。不允许空值。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-007|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-001,global_parameters.GP-001.locked,match_global,true,boolean,"字符串与布尔值；`rule_version=""CDMJ-AI-RULES 1.0.0""`；`parameter_version=""CDMJ-AI-PARAMS 1.0.0""`；`locked=true`。不允许空值。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-007|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-002,global_parameters.GP-002.ruleset,match_global,"""chengdu_xuezhan_daodi""",string,"枚举与字符串；`ruleset=""chengdu_xuezhan_daodi""`为必选；`platform_ruleset_id`长度1—128字符；可选扩展列表长度0—64。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-002,global_parameters.GP-002.platform_ruleset_id,match_global,"""default""",string,"枚举与字符串；`ruleset=""chengdu_xuezhan_daodi""`为必选；`platform_ruleset_id`长度1—128字符；可选扩展列表长度0—64。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-002,global_parameters.GP-002.extensions[*],match_global,[],list,"枚举与字符串；`ruleset=""chengdu_xuezhan_daodi""`为必选；`platform_ruleset_id`长度1—128字符；可选扩展列表长度0—64。",配置加载与整场初始化,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-003,global_parameters.GP-003.total_rounds,match_global,8,integer,"结构体；`total_rounds`整数1—10000；`starting_score`整数-1,000,000,000—1,000,000,000；排名方式为`total_score`、`rank_points`或`custom`；提前结束阈值可关闭，开启时与得分使用相同范围。",整场初始化与跨局控制,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-003,global_parameters.GP-003.starting_score,match_global,0,integer,"结构体；`total_rounds`整数1—10000；`starting_score`整数-1,000,000,000—1,000,000,000；排名方式为`total_score`、`rank_points`或`custom`；提前结束阈值可关闭，开启时与得分使用相同范围。",整场初始化与跨局控制,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-003,global_parameters.GP-003.ranking,match_global,"""total_score""",string,"结构体；`total_rounds`整数1—10000；`starting_score`整数-1,000,000,000—1,000,000,000；排名方式为`total_score`、`rank_points`或`custom`；提前结束阈值可关闭，开启时与得分使用相同范围。",整场初始化与跨局控制,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-003,global_parameters.GP-003.early_end_score,match_global,null,null | integer,"结构体；`total_rounds`整数1—10000；`starting_score`整数-1,000,000,000—1,000,000,000；排名方式为`total_score`、`rank_points`或`custom`；提前结束阈值可关闭，开启时与得分使用相同范围。",整场初始化与跨局控制,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010|TRAIN-001|TRAIN-007,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.suits[0],match_global,"""wan""",string,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.suits[1],match_global,"""tong""",string,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.suits[2],match_global,"""tiao""",string,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.ranks,match_global,9,integer,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.copies_per_type,match_global,4,integer,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.tile_types,match_global,27,integer,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.total_tiles,match_global,108,integer,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-004,global_parameters.GP-004.extensions[*],match_global,[],list,固定牌组结构；花色只能为`wan`、`tong`、`tiao`；点数1—9；每种牌4张；牌种27种；总牌数固定108。规则版本1.0.0不允许扩展牌。,牌墙构建与发牌,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-001|AUDIT-002|AUDIT-003|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-005,global_parameters.GP-005.enabled,match_global,true,boolean,布尔、整数和枚举；`enabled`为布尔值；启用时`exchange_count=3`、`same_suit_required=true`；方向为`left`、`right`、`opposite`、`dice`或`random`；来源可见性由[GP-021](#gp-021)控制。,换三张,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-005,global_parameters.GP-005.exchange_count,match_global,3,integer,布尔、整数和枚举；`enabled`为布尔值；启用时`exchange_count=3`、`same_suit_required=true`；方向为`left`、`right`、`opposite`、`dice`或`random`；来源可见性由[GP-021](#gp-021)控制。,换三张,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
GP-005,global_parameters.GP-005.same_suit_required,match_global,true,boolean,布尔、整数和枚举；`enabled`为布尔值；启用时`exchange_count=3`、`same_suit_required=true`；方向为`left`、`right`、`opposite`、`dice`或`random`；来源可见性由[GP-021](#gp-021)控制。,换三张,READ_ONLY,IMPLEMENTED,ALGO-001|ALGO-003|ALGO-004|ALGO-005|ALGO-006|ALGO-008|ALGO-009|AUDIT-004|AUDIT-005|AUDIT-008|AUDIT-010|AUDIT-011|AUDIT-013|HEUR-003|HEUR-015|MODEL-001|MODEL-002|RULE-001|RULE-002|RULE-003|RULE-004|RULE-005|RULE-006|RULE-007|RULE-008|RULE-009|RULE-010|RULE-011|RULE-012|RULE-013|RULE-014|RULE-015|SCORE-002|SCORE-003|SCORE-004|SCORE-005|SCORE-006|STATE-001|STATE-004|STATE-008|STATE-010,default.json + config.py + Task 19 parameter_registry.csv,真实配置叶字段；具体字段校验以 config.py 为准。
