path,classification,sha256,byte_size,source_task,related_units,evidence_reference,generated_at,included_in_checkpoint
docs/changelog.md,INCLUDE_TASK19_PLAN,d0e9b3413a22cf37a8e5d35b15992ee9b17e0631e0650e46024913849a705644,105389,TASK18/TASK19,,AGENTS.md rules 6-7,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/dependency_graph.md,INCLUDE_APPROVED_DESIGN,6f70d2d9a58085e542ddef31f2a4d79e4ddeed0502f342adb5caa62b56deb213,7588,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/locked_unit_catalog.csv,INCLUDE_APPROVED_DESIGN,abbe1fc84774528b4ab78bd1a926879d56e81baf4be97004efe892348683b7c4,58185,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/locked_unit_catalog.md,INCLUDE_APPROVED_DESIGN,0e0a9e977cd0c0c09e0ea698c6d5433da203521435957bae4554123b573ff62e,62861,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/proposed_unit_catalog.md,INCLUDE_APPROVED_DESIGN,8c931dfa69ab923190c9e326cbdaa2e8274d65f3b57b08bc5c7bfb7109791211,15080,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/unit_boundary_review.md,INCLUDE_APPROVED_DESIGN,99345079e966f9da5c1ddf7a69e1625e77ef9a5a928d1b38713cd6618f21f882,10274,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/02-unit-catalog/unit_migration_map.csv,INCLUDE_APPROVED_DESIGN,0f6aa7977c452f2935754d7fcd445621b60e491a62b1cfc4b0a8462dc8085ff3,13662,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/03-unit-specs/UNIT_SPEC_TEMPLATE.md,INCLUDE_APPROVED_DESIGN,928772d899b159f53e9bb489e18bbfa214338fbdec9e1579b19a3604deb1273e,4779,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/03-unit-specs/audit_specs.md,INCLUDE_APPROVED_DESIGN,ce19e0f0067841782f0f8ad6daa8bdcdf4b13698c946591683c9376e7129e08e,72589,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
docs/spec-v3/03-unit-specs/deterministic_algorithm_scoring_specs.md,INCLUDE_APPROVED_DESIGN,bcd82974ab84c3dbd99d80c27b5a599814b2e75eae3fa2397ba928ce177712a4,61427,SPEC-V3/TASK16/B1-A/B1-B,,Locked/Frozen authority chain,2026-07-30T23:00:30+08:00,true
