delta_id,unit_id,delta_kind,code_symbols,tests,runtime_artifact,status
SEM-STATE-010-01,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-02,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-03,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-04,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-05,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-06,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-07,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-STATE-010-08,STATE-010,semantic_delta,players/humanlike/state010.py;players/humanlike/player.py,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-01,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-02,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-03,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-04,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-05,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-06,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-07,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-009-08,ALGO-009,semantic_delta,players/humanlike/config_v2.py;players/humanlike/settings_service.py,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-011-01,ALGO-011,semantic_delta,engine/rng_v2.py;engine/deal.py;engine/replay.py;training/runner.py,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-011-02,ALGO-011,semantic_delta,engine/rng_v2.py;engine/deal.py;engine/replay.py;training/runner.py,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-011-03,ALGO-011,semantic_delta,engine/rng_v2.py;engine/deal.py;engine/replay.py;training/runner.py,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
SEM-ALGO-011-04,ALGO-011,semantic_delta,engine/rng_v2.py;engine/deal.py;engine/replay.py;training/runner.py,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,TRACED_NOT_NECESSARILY_ACCEPTED
