unit_id,unit_name,unit_type,parameter_count,global_config_parameters,runtime_parameters,ui_note
RULE-001,规则、参数、不变量与合法性裁决优先级,确定规则,27,GP-001 规则版本 | GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-021 信息可见性配置 | GP-022 时间控制配置 | GP-023 AI玩家基础档案 | GP-024 记忆与学习配置 | GP-025 人类化行为配置 | GP-026 有限认知配置 | GP-027 收益与比赛目标配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-002,换三张同花色、方向与提交合法性,确定规则,21,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-001 本局标识 | RP-002 座位与庄家状态,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-003,定缺未清时的强制出牌约束,确定规则,20,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-003 当前比分与本局目标,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-004,定缺、死叫与胡牌资格约束,确定规则,20,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-003 当前比分与本局目标,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-005,座位、庄家与活动顺序,确定规则,32,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-006 四家定缺状态 | RP-007 当前手牌 | RP-008 公开组合状态 | RP-009 弃牌历史 | RP-010 可见牌统计 | RP-011 牌墙与轮次状态 | RP-012 存活玩家与胡牌状态 | RP-013 当前事件 | RP-014 合法行动与响应窗口 | RP-015 过胡与权限状态 | RP-016 手牌结构状态 | RP-017 当前做牌计划 | RP-018 听牌与活牌状态,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-006,摸牌、可选响应与出牌标准顺序,确定规则,26,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,RP-023 候选行动集合 | RP-024 当前注意力状态 | RP-025 当前记忆状态 | RP-026 当前搜索状态 | RP-027 本次操作剩余时间 | RP-028 当前人格与情绪修正 | RP-029 行动历史与决策记录,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-007,碰牌资格、执行与后续出牌,确定规则,20,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置 | GP-023 AI玩家基础档案,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-008,明杠、暗杠与补杠资格及执行,确定规则,19,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-009,补杠抢杠胡窗口与解析,确定规则,19,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
RULE-010,自摸、点炮与抢杠胡资格,确定规则,19,GP-002 规则集标识 | GP-003 整场游戏配置 | GP-004 牌组配置 | GP-005 换三张配置 | GP-006 定缺配置 | GP-007 基本动作配置 | GP-008 多人响应优先级 | GP-009 胡牌权限配置 | GP-010 牌墙与终止配置 | GP-011 番型目录 | GP-012 番型关系 | GP-013 番数和封顶配置 | GP-014 自摸结算配置 | GP-015 杠分配置 | GP-016 呼叫转移配置 | GP-017 查花猪配置 | GP-018 查大叫配置 | GP-019 退税配置 | GP-020 庄家配置,NONE,"GP/RP group reference; leaf fields are defined in parameter_registry.csv; RP is runtime/read-only, not a settings control."
