parallel_wave_id,batch_ids,batch_count,unit_count,can_run_in_parallel,parallel_groups,cross_batch_dependency,shared_file_risk,shared_interface_risk,shared_test_fixture_risk,shared_evidence_risk,integration_conflict_risk,recommended_terminals,integration_order,full_regression_checkpoint,evidence_checkpoint,independent_audit_checkpoint
W01,T19-B2A1|T19-D10,2,5,true,W01-G1|W01-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 1|Terminal 1,T19-B2A1 -> T19-D10,W01-POST-INTEGRATION,W01-E4E5,W01-AUDIT
W02,T19-D01|T19-D02,2,5,true,W02-G1|W02-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 2|Terminal 2,T19-D01 -> T19-D02,W02-POST-INTEGRATION,W02-E4E5,W02-AUDIT
W03,T19-D03|T19-D04|T19-D11|T19-T01,4,9,true,W03-G1|W03-G2|W03-G3|W03-G4,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 2|Terminal 2|Terminal 1|Terminal 1,T19-D03 -> T19-D04 -> T19-D11 -> T19-T01,W03-POST-INTEGRATION,W03-E4E5,W03-AUDIT
W04,T19-D05|T19-D12|T19-D14|T19-M02|T19-T02,5,9,true,W04-G1|W04-G2|W04-G3|W04-G4|W04-G5,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 2|Terminal 1|Terminal 1|Terminal 1|Terminal 1,T19-D05 -> T19-D12 -> T19-D14 -> T19-M02 -> T19-T02,W04-POST-INTEGRATION,W04-E4E5,W04-AUDIT
W05,T19-A02|T19-D06|T19-T03,3,7,true,W05-G1|W05-G2|W05-G3,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 3|Terminal 2|Terminal 1,T19-A02 -> T19-D06 -> T19-T03,W05-POST-INTEGRATION,W05-E4E5,W05-AUDIT
W06,T19-A03|T19-D07|T19-T04,3,5,true,W06-G1|W06-G2|W06-G3,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 3|Terminal 2|Terminal 1,T19-A03 -> T19-D07 -> T19-T04,W06-POST-INTEGRATION,W06-E4E5,W06-AUDIT
W07,T19-A04|T19-D08,2,4,true,W07-G1|W07-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 3|Terminal 2,T19-A04 -> T19-D08,W07-POST-INTEGRATION,W07-E4E5,W07-AUDIT
W08,T19-A05|T19-D09,2,3,true,W08-G1|W08-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 3|Terminal 2,T19-A05 -> T19-D09,W08-POST-INTEGRATION,W08-E4E5,W08-AUDIT
W09,T19-D13|T19-H02,2,5,true,W09-G1|W09-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 1|Terminal 2,T19-D13 -> T19-H02,W09-POST-INTEGRATION,W09-E4E5,W09-AUDIT
W10,T19-A01|T19-H03,2,4,true,W10-G1|W10-G2,NONE_WITHIN_WAVE,REQUIRES_PRESTART_PATH_DIFF,UNIQUE_OWNER_REQUIRED,NEW_BATCH_FILES_ONLY,DISJOINT_BATCH_DIRECTORIES,MEDIUM,Terminal 3|Terminal 2,T19-A01 -> T19-H03,W10-POST-INTEGRATION,W10-E4E5,W10-AUDIT
