unit_id,unit_name,category,track_id,batch_id,parallel_wave_id,assigned_terminal,current_status,completion_path,dependencies,cross_track_dependencies,design_status,implementation_authorization,next_action,design_state,implementation_state,verification_state,audit_state,computed_done,state_note
RULE-001,规则、参数、不变量与合法性裁决优先级,RULE,TRACK-DETERMINISTIC,T19-D01,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-009|STATE-002|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-002,换三张同花色、方向与提交合法性,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-004,定缺、死叫与胡牌资格约束,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-005,座位、庄家与活动顺序,RULE,TRACK-DETERMINISTIC,T19-D01,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-002,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-006,摸牌、可选响应与出牌标准顺序,RULE,TRACK-DETERMINISTIC,T19-D02,W02,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-004|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-007,碰牌资格、执行与后续出牌,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-008,明杠、暗杠与补杠资格及执行,RULE,TRACK-DETERMINISTIC,T19-D05,W04,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-009,补杠抢杠胡窗口与解析,RULE,TRACK-DETERMINISTIC,T19-D06,W05,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-008|RULE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-010,自摸、点炮与抢杠胡资格,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|RULE-001|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
RULE-011,过胡设置、持续与恢复,RULE,TRACK-DETERMINISTIC,T19-D04,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-010|STATE-003,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,DRAFT,PARTIAL,PARTIAL,NOT_RUN,False,derived_conservatively; evidence review required
