unit_id,ac_id,result,objective_oracle,evidence,finding
STATE-010,AC-STATE-010-01,PASS,决策表中STATE默认/null与RP归档两项为Approved，并给出60项字段表及33项归档规则,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-02,PASS,注册表返回恰好GP-001..027和RP-001..033；重复ID=DUPLICATE_PARAMETER，漏项=SCHEMA_INVALID,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-03,PASS,"registry.resolve(source_config,phase)正常返回owned state；未知ID返回UNKNOWN_PARAMETER且result=null",tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-04,PASS,orchestrator创建match的E4 call_site经过STATE-010，输出四座owner hash和committed version,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-05,PASS,owned state记录parameter_version/ruleset_hash/config_hash；VERSION_CONFLICT时next_state_version不变,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-06,PASS,VALIDATED/RESOLVED阶段故障时before_state_hash=after_state_hash；成功仅version+1一次,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-07,PASS,直接测试逐项断言60 ID、owner、phase、default来源、accepted、error_code和next_state_version,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-08,PASS,缺失必填、允许缺省、null不可空、闭区间外、未知键、重复/迟到event各有准确错误码,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-09,PASS,settings→load_config→orchestrator装配四座；修改seat2授权RP后seat0/1/3 hash不变,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-10,PASS,真实match创建与一局归档trace包含phase_before/after、version/hash前后及生产call_site,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-11,PASS,每个SEM-STATE-010行映射到registry/runtime符号、直接测试、生产trace SHA-256和对应AC,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-12,PASS,固定环境分别测60项resolve和33项snapshot的P50/P95/P99；只登记基线，不设通过阈值,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-13,PASS,策略对象图无registry、seed_ref和其他座private RP；隐藏字段扰动后DecisionResult相同,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
STATE-010,AC-STATE-010-14,PASS,同source config/event序列100次及跨进程owned state/fingerprint逐字段相同；事件排列符合规范排序,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
ALGO-009,AC-ALGO-009-01,PASS,迁移图、extensions、canonical数字/Unicode及fallback五项决策Approved并带字节golden,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
ALGO-009,AC-ALGO-009-02,PASS,"给定current配置输出FrozenConfig及SHA-256（32字节，序列化为64个小写十六进制字符）；NaN输入result=null,error_code=NON_FINITE",tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
ALGO-009,AC-ALGO-009-03,PASS,validate_and_freeze(raw)依次产生migration_steps/defaults/canonical_hash；未知字段=PARAM_UNKNOWN,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
ALGO-009,AC-ALGO-009-04,PASS,settings_service.validate_raw/save_raw的E4 call_site调用统一ALGO-009入口且active hash等于返回hash,tests/spec_v3/test_b1a_*.py; evidence/task18b_b1a/B1-A_runtime_evidence.json; B1-A_golden_execution.json,oracle satisfied by current implementation/evidence
