superseded_delta_id,unit_id,supersession_status,replacement_delta_ids,reason,effective_from,may_be_used_by_development
LEGACY-SEM-PARAMETER-RULE-001,RULE-001,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-002,RULE-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-004,RULE-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-005,RULE-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-006,RULE-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-007,RULE-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-008,RULE-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-009,RULE-009,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-010,RULE-010,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-011,RULE-011,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-012,RULE-012,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-013,RULE-013,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-014,RULE-014,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-RULE-015,RULE-015,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-002,ALGO-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-003,ALGO-003,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-004,ALGO-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-005,ALGO-005,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-006,ALGO-006,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-007,ALGO-007,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-008,ALGO-008,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-009,ALGO-009,SUPERSEDED,SEM-ALGO-009-01|SEM-ALGO-009-02|SEM-ALGO-009-03|SEM-ALGO-009-04|SEM-ALGO-009-05|SEM-ALGO-009-06|SEM-ALGO-009-07|SEM-ALGO-009-08,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-ALGO-011,ALGO-011,SUPERSEDED,SEM-ALGO-011-01|SEM-ALGO-011-02|SEM-ALGO-011-03|SEM-ALGO-011-04|SEM-ALGO-011-05|SEM-ALGO-011-06|SEM-ALGO-011-07|SEM-ALGO-011-08,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-001,HEUR-001,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-002,HEUR-002,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-003,HEUR-003,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
LEGACY-SEM-PARAMETER-HEUR-004,HEUR-004,SUPERSEDED,,未指出具体parameter_id及当前/目标生产行为差异,Task18B-R1,false
