原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-001,范围与合法性优先,血战、有限信息、合法性优先、唯一合法动作直出,人类化决策规则：第 0—6 章 / 0. 范围与合法性优先,"GP-002, GP-008～GP-010",engine/legal.py; players/humanlike/candidates.py; protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; engine/blood_battle.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：强制动作不会被候选裁剪；2/3/4 人也可运行，超出源规则默认四人范围,无已识别硬阻塞,P0,完成,`engine/legal.py`、`players/humanlike/candidates.py`；legal-only、mandatory、泄漏测试,强制动作不会被候选裁剪；2/3/4 人也可运行，超出源规则默认四人范围
AU-002,可见信息边界,仅使用人类界面可见信息，公开范围由配置控制,人类化决策规则：第 0—6 章 / 0. 可见信息边界,GP-021,protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：生产 Humanlike v2 为 PlayerView-only；训练 oracle 仍存在但隔离在 `training/oracle.py`,无已识别硬阻塞,P1,完成,`protocols/player_view_builder.py`、`player_view_v2.py`；GP-021 全可见性测试、oracle 隔离测试,生产 Humanlike v2 为 PlayerView-only；训练 oracle 仍存在但隔离在 `training/oracle.py`
AU-003,游戏开始,读取规则、座位、局数；初始化局内记忆并保留模糊对手印象,人类化决策规则：第 0—6 章 / 1. 游戏开始,RP-001～RP-033,players/humanlike/player.py; players/humanlike/cognition.py; players/humanlike/runtime.py,players/humanlike/player.py:29::HumanlikeV2Player; players/humanlike/player.py:56::observe; players/humanlike/player.py:88::decide; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory; players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round,players/humanlike/audit_replay.py:60::HumanlikeV2Player; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_humanlike_player_integration.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots; tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic; tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision; tests/humanlike_v2/test_humanlike_player_integration.py::test_registry_exposes_humanlike_without_changing_old_defaults,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,能保留有界公共印象；没有稳定的玩家身份系统，跨桌长期画像和完整历史习惯学习未实现,无已识别硬阻塞,P0,部分完成,config、runtime、`CognitiveState.reset_round()`；跨局有界公开印象测试,能保留有界公共印象；没有稳定的玩家身份系统，跨桌长期画像和完整历史习惯学习未实现
AU-004,学习规则,读取换牌/定缺/响应/番型/结算/公开范围等全部房规并形成风格,人类化决策规则：第 0—6 章 / 2. 学习规则,GP-001～GP-027,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/cognition.py; players/humanlike/policy.py; engine/exchange.py; engine/opening.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail,docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,27 GP 均注册并验证；部分房规是配置模型而非所有组合均有引擎分支和对照测试,无已识别硬阻塞,P0,部分完成,GP-001～027 validator、engine adapter、compatibility matrix、四座 profile,27 GP 均注册并验证；部分房规是配置模型而非所有组合均有引擎分支和对照测试
AU-005,风格动态变化,保守/平衡/激进随比分、局数、牌质和对手变化,人类化决策规则：第 0—6 章 / 2. 风格动态变化,GP-023～GP-027,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/cognition.py; players/humanlike/policy.py; players/humanlike/belief.py; players/analysis/opponent_model.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,风格会改变阈值、候选和扰动；对剩余局数、名次目标的系统效用建模较浅,无已识别硬阻塞,P2,部分完成,profile、cognition/policy 的 level/style 单调测试、score-gap 噪声门禁,风格会改变阈值、候选和扰动；对剩余局数、名次目标的系统效用建模较浅
AU-006,定庄与座位,庄家、上下对家、活动顺序、胡后重排,人类化决策规则：第 0—6 章 / 3. 定庄与座位,GP-003,engine/dice.py; engine/deal.py; engine/game_id.py; engine/blood_battle.py,engine/dice.py:10::DiceResult; engine/dice.py:16::to_dict; engine/deal.py:13::create_dealt_game; engine/game_id.py:16::DerivedSeeds; engine/game_id.py:23::normalize_game_id; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action,engine/dice.py:47::DiceResult; engine/orchestrator.py:125::create_dealt_game; engine/session.py:152::create_dealt_game; training/env.py:158::create_dealt_game; engine/game_id.py:50::DerivedSeeds; engine/deal.py:38::normalize_game_id,tests/humanlike_v2/test_audit_replay.py; tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/test_blood_battle.py,tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots; tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic; tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：座位与轮转可靠；庄家自定义加分/连庄组合没有完整矩阵测试,无已识别硬阻塞,P3,完成,`engine/deal.py`、`blood_battle.py`、state；game_id/dice/血战继续测试,座位与轮转可靠；庄家自定义加分/连庄组合没有完整矩阵测试
AU-007,独立对手模型,按座位分别建模且早期保留不确定性,人类化决策规则：第 0—6 章 / 3. 独立对手模型,RP-006～RP-017,players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py,players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents; players/analysis/danger.py:29::rate_discard_danger; players/analysis/danger.py:68::danger_map_for_tiles,players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief; players/analysis/discard_accuracy.py:96::estimate_opponents; players/analysis/pipeline.py:46::estimate_opponents; players/analysis/danger.py:76::rate_discard_danger; players/analysis/pipeline.py:100::danger_map_for_tiles,tests/humanlike_v2/test_deterministic_policy.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank; tests/test_f0011_integrated.py::test_fan_proxy_and_baseline_compat,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,按座位分离公开压力，但不是源规范要求的完整多假设概率模型,无已识别硬阻塞,P3,部分完成,`PublicBelief.opponent_suit_pressure`、memory tokens,按座位分离公开压力，但不是源规范要求的完整多假设概率模型
AU-008,初始手牌整理,13/14 张、花色/对子/刻子/搭子/重叠结构、普通/七对/清一色方向,人类化决策规则：第 0—6 章 / 4. 初始手牌整理,RP-003～RP-005,engine/shanten.py; players/humanlike/plan.py; players/humanlike/cognition.py; players/humanlike/hand_analyzer.py; engine/win_check.py,engine/shanten.py:272::shanten; players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory; players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand,engine/score.py:124::shanten; engine/shanten.py:65::shanten; players/analysis/discard_accuracy.py:42::shanten; players/analysis/pipeline.py:49::shanten; players/analysis/strategy.py:78::shanten; players/humanlike/hand_analyzer.py:54::shanten,tests/humanlike_v2/test_cognition.py; tests/test_shanten.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/test_shanten.py::test_s02_winning_standard_shanten_neg1; tests/test_shanten.py::test_s01_tenpai_shanten_0; tests/test_shanten.py::test_s03_seven_pairs_tenpai; tests/test_shanten.py::test_s04_dingque_raises_shanten,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,标准与七对向听可靠；Humanlike 特征将复杂结构压缩为 speed/value/defense/flexibility，未保留全部拆解与等待形状,无已识别硬阻塞,P3,部分完成,`engine/shanten.py`、humanlike hand analyzer、F0010/F0011 分析,标准与七对向听可靠；Humanlike 特征将复杂结构压缩为 speed/value/defense/flexibility，未保留全部拆解与等待形状
AU-009,初步计划可修正,初始方向不能锁死，后续信息可推翻,人类化决策规则：第 0—6 章 / 4. 初步计划可修正,"RP-019, RP-020",players/humanlike/plan.py; players/humanlike/cognition.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory,tests/humanlike_v2/test_cognition.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,有主/备计划和重启阈值；计划标签较粗，非第 7 章完整计划空间,无已识别硬阻塞,P2,部分完成,`plan.py`、`cognition.py` 的 plan inertia/restart,有主/备计划和重启阈值；计划标签较粗，非第 7 章完整计划空间
AU-010,换三张合法性,同花色三张、方向交换、接收后重算,人类化决策规则：第 0—6 章 / 5. 换三张合法性,"GP-005, GP-006, RP-001, RP-002",engine/exchange.py; engine/opening.py,engine/exchange.py:57::validate_exchange_tiles; engine/exchange.py:76::resolve_exchange_tiles; engine/exchange.py:38::resolve_exchange_direction; engine/opening.py:91::begin_opening; engine/opening.py:157::submit_exchange; engine/opening.py:176::submit_dingque,engine/exchange.py:87::validate_exchange_tiles; engine/opening.py:218::validate_exchange_tiles; engine/orchestrator.py:463::validate_exchange_tiles; training/env.py:485::validate_exchange_tiles; engine/opening.py:123::resolve_exchange_tiles; engine/opening.py:55::resolve_exchange_direction,tests/test_exchange_dingque.py,tests/test_exchange_dingque.py::test_t02_auto_dice_mapping; tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t04_multiset_transfer; tests/test_exchange_dingque.py::test_t05_illegal_exchange; tests/test_exchange_dingque.py::test_t06_overwrite_pending; tests/test_exchange_dingque.py::test_t07_fixed_clockwise; tests/test_exchange_dingque.py::test_t09_dingque_overwrite,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：规则和实体牌守恒充分验证，支持固定/骰子等方向,无已识别硬阻塞,P0,完成,`engine/exchange.py`、opening；14 项 exchange/dingque 测试、实体牌转移测试,规则和实体牌守恒充分验证，支持固定/骰子等方向
