"legacy_id","legacy_name","decision","new_unit_ids","reason"
"AU-001","范围与合法性优先","SPLIT","RULE-001|ALGO-006","合法性裁决与强制候选/唯一动作选择属于规则和算法两个独立职责。"
"AU-002","可见信息边界","SPLIT","RULE-016|ALGO-010|STATE-005","公开范围规则、白名单构建算法和不可变视图状态可分别测试。"
"AU-003","游戏开始","SPLIT","STATE-001|STATE-006|HEUR-020|MODEL-003","整场初始化、认知初始化、有限记忆和跨局学习具有不同生命周期与证据等级。"
"AU-004","学习规则","SPLIT","STATE-010|ALGO-009|RULE-015|HEUR-003","配置注册、校验、番型规则和风格形成混合，不能用一次验收覆盖。"
"AU-005","风格动态变化","RENAME","HEUR-003","职责可独立验收，但应命名为动态风格调节以明确它是启发式而非规则学习。"
"AU-006","定庄与座位","SPLIT","RULE-005|RULE-014","座位/轮转与胡后退出/活动座位变化是不同状态转换。"
"AU-007","独立对手模型","RENAME","MODEL-001","应明确为逐对手概率假设模型，不把简化启发式压力当完整模型。"
"AU-008","初始手牌整理","SPLIT","ALGO-002|HEUR-004","手牌结构计算是确定性算法，初始做牌方向是启发式。"
"AU-009","初步计划可修正","MERGE","HEUR-005","与 AU-014、AU-017、AU-025 的计划建立、切换和重启合并为一个计划生命周期单元。"
"AU-010","换三张合法性","SPLIT","RULE-002|ALGO-001","同花色/方向规则与实体牌身份守恒分别验收。"
"AU-011","换牌策略","RENAME","HEUR-001","更名为换三张候选评价启发式，和 RULE-002 的合法性分离。"
"AU-012","定缺选择","RENAME","HEUR-002","更名为定缺花色评价启发式，和定缺硬约束分离。"
"AU-013","清缺约束","SPLIT","RULE-003|RULE-004","缺门出牌限制与胡牌资格限制是两个独立规则断言。"
"AU-014","动态做牌方向","MERGE","HEUR-004|HEUR-005","初始方向归入 HEUR-004，动态维护归入 HEUR-005。"
"AU-015","花色环境","RENAME","HEUR-006","更名为定缺花色环境评估，输入输出可独立定义。"
"AU-016","逐家方向假设","MERGE","MODEL-001","与 AU-007、AU-050 的逐对手假设归一为概率模型。"
