unit_id,unit_name,category,track_id,batch_id,parallel_wave_id,assigned_terminal,current_status,completion_path,dependencies,cross_track_dependencies,design_status,implementation_authorization,next_action,duplicate_matrix_rows,tracker_reference,discrepancy_type
ALGO-002,手牌分解、向听、弃牌向听与等待形状,ALGO,TRACK-DETERMINISTIC,T19-B2A1,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-003,,APPROVED,READY_FOR_IMPLEMENTATION,Implement approved design,1,True,NONE
ALGO-003,去重可见牌与未见牌聚合,ALGO,TRACK-DETERMINISTIC,T19-D10,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|STATE-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
ALGO-004,墙内活牌区间或估计,ALGO,TRACK-DETERMINISTIC,T19-D10,W01,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-003|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
ALGO-005,逐座剩余摸牌机会估计,ALGO,TRACK-DETERMINISTIC,T19-D11,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-005|STATE-011,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
ALGO-006,mandatory 分类、候选上限与稳定排序,ALGO,TRACK-DETERMINISTIC,T19-D03,W03,Terminal 2,PARTIAL,PATH-SEMANTIC-COMPLETION,RULE-001|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
ALGO-007,六分量候选 Q 评价,ALGO,TRACK-DETERMINISTIC,T19-D11,W03,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-002|ALGO-003|ALGO-005|STATE-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
ALGO-008,seed、噪声、思考时间与随机流确定派生,ALGO,TRACK-DETERMINISTIC,T19-D12,W04,Terminal 1,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-011|STATE-009,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-001,全原子规则事件日志,AUDIT,TRACK-AUDIT,T19-A01,W10,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,STATE-002|STATE-004,STATE-002,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-002,AI 决策解释日志,AUDIT,TRACK-AUDIT,T19-A01,W10,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-007|STATE-006|STATE-009,ALGO-007|STATE-006|STATE-009,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-004,同配置/seed/事件的确定性回放,AUDIT,TRACK-AUDIT,T19-A02,W05,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-008|AUDIT-003|STATE-007,ALGO-008|STATE-007,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-005,每事件强制不变量执行,AUDIT,TRACK-AUDIT,T19-A02,W05,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-001|RULE-001|SCORE-001|STATE-004,RULE-001,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-006,直接规则与接口测试证据门禁,AUDIT,TRACK-AUDIT,T19-A03,W06,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-007,属性式生成、缩减与不变量证据,AUDIT,TRACK-AUDIT,T19-A03,W06,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,ALGO-011|AUDIT-005,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
AUDIT-008,锁定来源逐章 golden-case 对照,AUDIT,TRACK-AUDIT,T19-A04,W07,Terminal 3,PARTIAL,PATH-SEMANTIC-COMPLETION,AUDIT-006|AUDIT-010,,WAITING_APPROVAL,WAITING_FOR_DESIGN_APPROVAL,Create and approve unit design package,1,True,NONE
