"新单元ID","名称","类型","一句话目标","来源规则","关联GP_RP","上游依赖","下游消费者","主要输入","主要输出","是否确定性","是否可训练","是否需要随机数","信息可见性等级","开发优先级","当前实现状态"
"RULE-001","规则、参数、不变量与合法性裁决优先级","确定规则","在冻结输入和版本下，独立产生「authoritative legal set or explicit rejection」并通过「冲突配置及非法动作表驱动测试」验收。","AU-001 人类化决策规则：第 0—6 章 / 0. 范围与合法性优先；AU-031 人类化决策规则：第 7—14 章 / 9.1 响应优先；AU-052 程序实现规范：第 0—10 章 / 1.3 冲突裁决","GP-002, GP-008～GP-010、GP-008～GP-010、GP-001～GP-027","STATE-002|STATE-010|ALGO-009","ALGO-006|AUDIT-005|RULE-007|RULE-008|RULE-010|RULE-013|STATE-009|TRAIN-001|TRAIN-003","ruleset/config/state","authoritative legal set or explicit rejection","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-002","换三张同花色、方向与提交合法性","确定规则","在冻结输入和版本下，独立产生「accepted exchange or error」并通过「方向×花色×实体牌用例」验收。","AU-010 人类化决策规则：第 0—6 章 / 5. 换三张合法性；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","GP-005, GP-006, RP-001, RP-002、GP-002～GP-020","STATE-003|STATE-011|ALGO-001","HEUR-001","concealed physical tiles + direction","accepted exchange or error","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Tested（历史 EV3/report-only）"
"RULE-003","定缺未清时的强制出牌约束","确定规则","在冻结输入和版本下，独立产生「legal discards」并通过「缺门存在/清空边界」验收。","AU-013 人类化决策规则：第 0—6 章 / 6. 清缺约束；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-002, RP-003、GP-002～GP-020、GP-008～GP-010、无直接GP/RP；测试追踪","STATE-003","HEUR-002|HEUR-014","hand + dingque","legal discards","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-004","定缺、死叫与胡牌资格约束","确定规则","在冻结输入和版本下，独立产生「hu eligibility」并通过「清缺/未清/死叫用例」验收。","AU-013 人类化决策规则：第 0—6 章 / 6. 清缺约束；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-002, RP-003、GP-002～GP-020、GP-008～GP-010、无直接GP/RP；测试追踪","STATE-003|ALGO-002","SCORE-004","hand + dingque + waits","hu eligibility","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-005","座位、庄家与活动顺序","确定规则","在冻结输入和版本下，独立产生「next actor」并通过「2/3/4 人及退出轮转」验收。","AU-006 人类化决策规则：第 0—6 章 / 3. 定庄与座位；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-065 程序实现规范：第 0—10 章 / 4.2 玩家与活动顺序；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-003、GP-002～GP-020、RP-006～RP-018、无直接GP/RP；测试追踪","STATE-002","ALGO-005|RULE-014","seats + dealer + active set + actor","next actor","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-006","摸牌、可选响应与出牌标准顺序","确定规则","在冻结输入和版本下，独立产生「next phase/action request」并通过「每阶段状态转换表」验收。","AU-035 人类化决策规则：第 7—14 章 / 9.5 摸牌后判断；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine","RP-023～RP-029、GP-002～GP-020","STATE-004|STATE-011","AUDIT-006","phase + actor + wall","next phase/action request","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Tested（历史 EV3/report-only）"
"RULE-007","碰牌资格、执行与后续出牌","确定规则","在冻结输入和版本下，独立产生「meld/turn」并通过「合法/非法碰及让序」验收。","AU-034 人类化决策规则：第 7—14 章 / 9.4 碰牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-008, GP-023、GP-002～GP-020、GP-008～GP-010","RULE-001|STATE-003","HEUR-012|RULE-013","discard + responders + hands","meld/turn","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-008","明杠、暗杠与补杠资格及执行","确定规则","在冻结输入和版本下，独立产生「gang transition」并通过「三类杠与补牌守恒」验收。","AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-014～GP-020、GP-002～GP-020、GP-008～GP-010","RULE-001|STATE-003|STATE-011","HEUR-013|RULE-009|SCORE-003","hand/meld/discard","gang transition","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-009","补杠抢杠胡窗口与解析","确定规则","在冻结输入和版本下，独立产生「hu or gang」并通过「抢杠/无人抢/多人抢」验收。","AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-014～GP-020、GP-002～GP-020、GP-008～GP-010","RULE-008|RULE-010","HEUR-013|RULE-013|SCORE-003","bugang intent + responders","hu or gang","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
"RULE-010","自摸、点炮与抢杠胡资格","确定规则","在冻结输入和版本下，独立产生「legal hu set」并通过「三类胡及反例」验收。","AU-032 人类化决策规则：第 7—14 章 / 9.2 胡牌响应；AU-056 程序实现规范：第 0—10 章 / 3.2 Rule Engine；AU-072 程序实现规范：第 0—10 章 / 8. 合法行动与解析","GP-009, GP-010、GP-002～GP-020、GP-008～GP-010","RULE-001|STATE-003|ALGO-002","RULE-009|RULE-011|RULE-012|RULE-013|RULE-014|SCORE-002","state + winning tile + source","legal hu set","是","否","否","权威私有状态；对策略仅输出合法集/公开结果","P0","Partial（部分实现）"
